Dep_Airport_ID,Schedules,Facility_Type,Wind_Indicator,Runway_ID,Length,Width,Surface_Type_Condition,Edge_Light_Intensity,WBC_Single,WBC_Dual,WBC_Two_Dual,WBC_Tandem_Two_Dual,Base_Marking_Condition
EET,ALL/ALL/0700-1900,AIRPORT,Y-L,16/34,5000,75,ASPH-F,MED,16,,,,G
BHM,ALL/ALL/ALL,AIRPORT,Y-L,06/24,12007,150,ASPH-G,HIGH,175,205,350,,F
BHM,ALL/ALL/ALL,AIRPORT,Y-L,18/36,7099,150,ASPH-G,MED,75,170,240,,G
DHN,ALL/ALL/ALL,AIRPORT,Y-L,18/36,5498,100,ASPH-F,HIGH,75,105,190,,G
DHN,ALL/ALL/ALL,AIRPORT,Y-L,14/32,8499,150,ASPH-E,HIGH,75,105,190,,G
BFM,ALL/ALL/0700-2300,AIRPORT,Y-L,18/36,7800,150,ASPH-CONC-F,MED,76,150,320,,G
BFM,ALL/ALL/0700-2300,AIRPORT,Y-L,14/32,9618,150,ASPH-CONC-G,HIGH,75,185,325,,G
IFP,ALL/ALL/ALL,AIRPORT,Y-L,16/34,8501,150,ASPH-G,MED,75,200,400,,G
P52,ALL/ALL/0800-1700,AIRPORT,Y-L,14/32,4250,75,ASPH-G,MED,4,,,,G
FLG,ALL/ALL/ALL,AIRPORT,Y-L,03/21,8800,150,ASPH-E,HIGH,30,95,140,,G
FHU,ALL/MON-FRI/1400-2230Z,AIRPORT,Y-L,08/26,12001,150,CONC-E,HIGH,75,200,450,700,G
FHU,ALL/MON-FRI/1400-2230Z,AIRPORT,Y-L,12/30,5366,100,ASPH-CONC-G,MED,46,106,137,172,G
GEU,ALL/ALL/0630-1930,AIRPORT,Y-L,01/19,7150,100,ASPH-G,MED,40,60,,,G
P13,UNATNDD,AIRPORT,Y-L,09/27,6500,100,ASPH-F,MED,60,,,,F
GYR,ALL/ALL/ALL,AIRPORT,Y-L,03/21,8500,150,ASPH-G,MED,115,225,505,985,G
IGM,ALL/SAT-SUN/0600-1400,AIRPORT,Y-L,17/35,6725,75,ASPH-G,MED,22,60,,,G
IGM,ALL/MON-FRI/0600-1600,AIRPORT,Y-L,17/35,6725,75,ASPH-G,MED,22,60,,,G
IGM,ALL/SAT-SUN/0600-1400,AIRPORT,Y-L,03/21,6827,150,ASPH-G,MED,45,85,125,265,G
IGM,ALL/MON-FRI/0600-1600,AIRPORT,Y-L,03/21,6827,150,ASPH-G,MED,45,85,125,265,G
HII,ALL/ALL/0800-1700,AIRPORT,Y-L,14/32,8000,100,ASPH-F,MED,100,,,,G
MZJ,ALL/ALL/0700-1530,AIRPORT,Y-L,12/30,6849,150,ASPH-P,MED,68,100,270,500,P
FFZ,ALL/ALL/ALL,AIRPORT,Y-L,04L/22R,3799,75,ASPH-G,MED,12,,,,G
FFZ,ALL/ALL/ALL,AIRPORT,Y-L,04R/22L,5100,100,ASPH-G,MED,38,60,90,,G
OLS,ALL/ALL/0700-1900,AIRPORT,Y-L,03/21,7200,100,ASPH-G,MED,21,,,,P
OLS,ALL/ALL/0700-1900,AIRPORT,Y-L,H1,97,97,CONC-G,,22,,,,
PGA,ALL/ALL/DALGT,AIRPORT,Y-L,15/33,5950,150,ASPH-G,MED,65,90,190,,G
P20,ALL/ALL/0800-1700,AIRPORT,Y-L,01/19,6250,100,ASPH-G,MED,30,50,,,P
PAN,ALL/SAT-SUN/0700-1200,AIRPORT,Y-L,06/24,5504,75,ASPH-G,MED,40,50,100,,G
PAN,ALL/MON-FRI/0700-1600,AIRPORT,Y-L,06/24,5504,75,ASPH-G,MED,40,50,100,,G
DVT,ALL/ALL/ALL,AIRPORT,Y-L,07R/25L,8196,100,ASPH-G,MED,20,91,255,,G
DVT,ALL/ALL/ALL,AIRPORT,Y-L,07L/25R,4500,75,ASPH-G,MED,70,117,,,G
IWA,ALL/ALL/ALL,AIRPORT,Y,12C/30C,10201,150,ASPH-CONC-G,HIGH,55,95,185,550,G
IWA,ALL/ALL/ALL,AIRPORT,Y,12L/30R,9300,150,CONC-G,HIGH,75,210,590,850,G
IWA,ALL/ALL/ALL,AIRPORT,Y,12R/30L,10401,150,CONC-G,MED,55,95,185,550,G
PHX,ALL/ALL/ALL,AIRPORT,Y-L,07R/25L,7800,150,CONC-G,HIGH,30,200,400,1010,G
PHX,ALL/ALL/ALL,AIRPORT,Y-L,07L/25R,10300,150,CONC-G,HIGH,30,235,435,940,G
PHX,ALL/ALL/ALL,AIRPORT,Y-L,08/26,11489,150,CONC-G,HIGH,30,200,455,965,G
PRC,ALL/ALL/0600-2200,AIRPORT,Y-L,03L/21R,4846,60,ASPH-G,MED,12,,,,
PRC,ALL/ALL/0600-2200,AIRPORT,Y-L,03R/21L,7619,150,ASPH-G,MED,63,80,100,,G
PRC,ALL/ALL/0600-2200,AIRPORT,Y-L,12/30,4408,75,ASPH-G,MED,12,,,,G
SAD,"ALL/SUN/ON CALL",AIRPORT,Y-L,12/30,6007,100,ASPH-G,MED,33,,,,G
SAD,ALL/MON-SAT/0800-1700,AIRPORT,Y-L,12/30,6007,100,ASPH-G,MED,33,,,,G
SAD,"ALL/SUN/ON CALL",AIRPORT,Y-L,08/26,4802,60,ASPH-G,MED,23,,,,G
SAD,ALL/MON-SAT/0800-1700,AIRPORT,Y-L,08/26,4802,60,ASPH-G,MED,23,,,,G
SEZ,OCT-APR/ALL/0700-1700,AIRPORT,Y-L,03/21,5132,100,ASPH-G,MED,15,30,,,G
SEZ,MAY-SEP/ALL/0700-1800,AIRPORT,Y-L,03/21,5132,100,ASPH-G,MED,15,30,,,G
SDL,ALL/ALL/ALL,AIRPORT,Y-L,03/21,8249,100,ASPH-G,MED,45,75,,,G
JTC,ALL/ALL/0800-1600,AIRPORT,Y-L,11/29,4603,60,ASPH-G,MED,19,,,,P
JTC,ALL/ALL/0800-1600,AIRPORT,Y-L,03/21,8422,75,ASPH-G,MED,30,,,,G
AVQ,ALL/ALL/0700-1730,AIRPORT,Y-L,12/30,6901,100,ASPH-G,MED,75,100,300,,G
AVQ,ALL/ALL/0700-1730,AIRPORT,Y-L,03/21,3892,75,ASPH-G,MED,75,100,150,,G
TUS,ALL/ALL/ALL,AIRPORT,Y-L,03/21,7000,150,ASPH-G,MED,105,137,230,500,G
TUS,ALL/ALL/ALL,AIRPORT,Y-L,11L/29R,10996,150,ASPH-G,HIGH,160,200,350,585,G
TUS,ALL/ALL/ALL,AIRPORT,Y-L,11R/29L,8408,75,ASPH-G,MED,120,140,220,,G
RYN,ALL/M-F/0800-1700,AIRPORT,Y-L,06L/24R,4900,75,ASPH-G,MED,12,30,,,F
RYN,ALL/SAT/0800-1700,AIRPORT,Y-L,06L/24R,4900,75,ASPH-G,MED,12,30,,,F
RYN,ALL/M-F/0800-1700,AIRPORT,Y-L,06R/24L,5500,75,ASPH-G,MED,12,30,,,G
RYN,ALL/SAT/0800-1700,AIRPORT,Y-L,06R/24L,5500,75,ASPH-G,MED,12,30,,,G
E25,ALL/TUE-SAT/0700-1600,AIRPORT,Y-L,05/23,6101,75,ASPH-G,MED,30,60,,,G
INW,ALL/SAT-SUN/0800-1700,AIRPORT,Y-L,04/22,7499,150,ASPH-G,MED,50,80,125,,F
INW,ALL/MON-FRI/0700-1800,AIRPORT,Y-L,04/22,7499,150,ASPH-G,MED,50,80,125,,F
INW,ALL/SAT-SUN/0800-1700,AIRPORT,Y-L,11/29,7100,150,ASPH-F,MED,60,70,110,,F
INW,ALL/MON-FRI/0700-1800,AIRPORT,Y-L,11/29,7100,150,ASPH-F,MED,60,70,110,,F
NYL,ALL/ALL/,AIRPORT,Y-L,03R/21L,9240,150,ASPH-CONC-G,HIGH,162,200,400,,G
NYL,ALL/ALL/,AIRPORT,Y-L,08/26,6146,150,ASPH-G,HIGH,63,137,206,,G
NYL,ALL/ALL/,AIRPORT,Y-L,17/35,5710,150,ASPH-CONC-G,HIGH,72,171,255,,G
NYL,ALL/ALL/,AIRPORT,Y-L,03L/21R,13300,200,CONC-G,HIGH,103,200,400,,G
FYV,ALL/MON-FRI/0600-2200,AIRPORT,Y-L,16/34,6005,100,ASPH-G,MED,90,150,175,,G
FYV,ALL/SAT-SUN/0800-2000,AIRPORT,Y-L,16/34,6005,100,ASPH-G,MED,90,150,175,,G
FSM,ALL/ALL/ALL,AIRPORT,Y-L,02/20,5001,150,ASPH-G,MED,55,70,120,,G
FSM,ALL/ALL/ALL,AIRPORT,Y-L,08/26,8017,150,ASPH-G,HIGH,75,175,295,,G
HOT,ALL/ALL/0500-2200,AIRPORT,Y-L,05/23,6595,150,ASPH-G,HIGH,75,125,210,400,G
HOT,ALL/ALL/0500-2200,AIRPORT,Y-L,13/31,4098,100,ASPH-G,MED,28,36,63,,G
JBR,ALL/ALL/0600-2100,AIRPORT,Y-L,05/23,6200,150,ASPH-G,MED,40,48,76,,P
JBR,ALL/ALL/0600-2100,AIRPORT,Y-L,13/31,4099,150,ASPH-G,MED,50,60,95,,F
LIT,ALL/ALL/ALL,AIRPORT,Y-L,04R/22L,8251,150,CONC-G,HIGH,75,200,350,,G
LIT,ALL/ALL/ALL,AIRPORT,Y-L,04L/22R,8273,150,CONC-G,HIGH,75,200,350,,G
LIT,ALL/ALL/ALL,AIRPORT,Y-L,18/36,6224,150,CONC-G,MED,75,100,135,,G
SGT,NOV-JAN/ALL/0800-2000,AIRPORT,Y,09/27,5002,150,CONC-G,MED,25,65,120,,F
SGT,FEB-OCT/MON-FRI/0800-1600,AIRPORT,Y,09/27,5002,150,CONC-G,MED,25,65,120,,F
SGT,NOV-JAN/ALL/0800-2000,AIRPORT,Y,18/36,6015,100,ASPH-G,MED,75,150,200,300,G
SGT,FEB-OCT/MON-FRI/0800-1600,AIRPORT,Y,18/36,6015,100,ASPH-G,MED,75,150,200,300,G
TXK,ALL/ALL/0600-2200,AIRPORT,Y-L,04/22,6601,150,ASPH-G,HIGH,50,86,120,,G
TXK,ALL/ALL/0600-2200,AIRPORT,Y-L,13/31,5200,100,ASPH-G,MED,25,,,,G
APV,ALL/ALL/0800-1700,AIRPORT,Y-L,08/26,4099,60,ASPH-P,,40,60,100,,P
APV,ALL/ALL/0800-1700,AIRPORT,Y-L,18/36,6498,150,ASPH-F,MED,70,90,150,,F
ACV,"ALL/ALL /0400-2359",AIRPORT,Y-L,01/19,4501,150,ASPH-G,MED,60,95,170,,F
ACV,"ALL/ALL /0400-2359",AIRPORT,Y-L,14/32,6046,150,ASPH-G,HIGH,60,155,280,,G
AUN,ALL/ALL/0800-1800,AIRPORT,Y-L,07/25,3700,75,ASPH-G,MED,30,,,,G
BFL,ALL/ALL/ALL,AIRPORT,Y-L,12R/30L,7700,100,ASPH-E,MED,18,,,,G
BFL,ALL/ALL/ALL,AIRPORT,Y-L,12L/30R,10849,150,ASPH-G,HIGH,96,155,260,654,G
L35,ALL/ALL/0800-1700,AIRPORT,Y-L,08/26,5850,75,ASPH-G,MED,12,,,,G
BUR,ALL/ALL/ALL,AIRPORT,Y-L,15/33,6886,150,ASPH-CONC-E,MED,120,201,352,839,G
BUR,ALL/ALL/ALL,AIRPORT,Y-L,08/26,5802,150,ASPH-CONC-E,HIGH,120,201,352,839,G
C83,ALL/ALL/0700-1400,AIRPORT,,12/30,4500,100,ASPH-G,MED,29,,,,G
C83,ALL/ALL/0700-1400,AIRPORT,,05/23,3000,75,ASPH-G,MED,29,,,,G
CMA,ALL/ALL/0700-2300,AIRPORT,Y-L,08/26,6013,150,ASPH-CONC-G,MED,50,80,125,,G
CRQ,ALL/ALL/0700-2200,AIRPORT,N,06/24,4897,150,ASPH-G,HIGH,60,80,110,,G
CIC,ALL/ALL/0700-1900,AIRPORT,Y-L,13R/31L,3000,60,ASPH-F,,12,,,,F
CIC,ALL/ALL/0700-1900,AIRPORT,Y-L,H1,64,64,CONC-G,,35,,,,
CIC,ALL/ALL/0700-1900,AIRPORT,Y-L,13L/31R,6724,150,ASPH-G,HIGH,63,100,170,,G
CNO,ALL/ALL/ALL,AIRPORT,Y-L,08L/26R,4858,150,ASPH-G,HIGH,12,,,,G
CNO,ALL/ALL/ALL,AIRPORT,Y-L,08R/26L,7000,150,ASPH-G,MED,75,150,215,,G
CNO,ALL/ALL/ALL,AIRPORT,Y-L,03/21,4919,150,ASPH-G,MED,21,130,,50,G
O22,ALL/ALL/0800-1700,AIRPORT,Y-L,17/35,4673,75,ASPH-G,MED,30,,,,F
CEC,ALL/ALL/0800-1800,AIRPORT,Y-L,12/30,5002,150,ASPH-F,HIGH,30,43,,,F
CEC,ALL/ALL/0800-1800,AIRPORT,Y-L,18/36,5000,150,ASPH-F,MED,30,43,,,F
DAG,ALL/ALL/0630-1700,AIRPORT,Y-L,08/26,6402,150,ASPH-F,MED,30,170,320,,F
DAG,ALL/ALL/0630-1700,AIRPORT,Y-L,04/22,5123,100,ASPH-F,MED,30,105,190,,F
EMT,ALL/ALL/ALL,AIRPORT,Y-L,01/19,3995,75,ASPH-G,MED,12,,,,G
FOT,UNATNDD,AIRPORT,Y-L,11/29,4004,100,ASPH-G,MED,30,,,,F
FAT,ALL/ALL/ALL,AIRPORT,Y-L,11L/29R,9539,150,ASPH-G,HIGH,70,170,250,,G
FAT,ALL/ALL/ALL,AIRPORT,Y-L,11R/29L,8008,150,ASPH-G,MED,70,170,250,,G
FUL,ALL/ALL/0700-2100,AIRPORT,Y-L,06/24,3121,75,ASPH-G,MED,12,,,,G
HAF,ALL/ALL/0830-1630,AIRPORT,Y-L,12/30,5000,150,ASPH-CONC-F,MED,30,200,360,,G
HMT,ALL/ALL/DALGT,AIRPORT,Y-L,05/23,4315,100,ASPH-G,MED,80,130,,,G
WJF,ALL/ALL/ALL,AIRPORT,Y-L,06/24,7201,150,ASPH-G,MED,50,68,117,,G
LHM,"ALL/MON-FRI/0630 - 1500",AIRPORT,Y-L,15/33,6001,100,ASPH-G,MED,30,60,,,G
LVK,ALL/SAT-SUN/0700-1100,AIRPORT,Y-L,07L/25R,5253,100,ASPH-E,HIGH,45,90,,,G
LVK,ALL/MON-FRI/0730-1700,AIRPORT,Y-L,07L/25R,5253,100,ASPH-E,HIGH,45,90,,,G
LVK,ALL/SAT-SUN/0700-1100,AIRPORT,Y-L,07R/25L,2699,75,ASPH-E,MED,12,,,,G
LVK,ALL/MON-FRI/0730-1700,AIRPORT,Y-L,07R/25L,2699,75,ASPH-E,MED,12,,,,G
LGB,ALL/ALL/ALL,AIRPORT,Y-L,12/30,10000,200,ASPH-G,HIGH,30,200,300,,G
LGB,ALL/ALL/ALL,AIRPORT,Y-L,08R/26L,3918,100,ASPH-G,HIGH,30,75,,,G
LGB,ALL/ALL/ALL,AIRPORT,Y-L,08L/26R,6192,150,ASPH-E,MED,30,70,110,,G
WHP,ALL/ALL/ALL,AIRPORT,Y-L,12/30,4120,75,ASPH-G,MED,12,,,,G
LAX,ALL/ALL/ALL,AIRPORT,Y-L,07L/25R,12923,150,CONC-G,HIGH,175,225,400,900,G
LAX,ALL/ALL/ALL,AIRPORT,Y-L,06R/24L,10885,150,CONC-G,HIGH,175,225,400,900,G
LAX,ALL/ALL/ALL,AIRPORT,Y-L,06L/24R,8926,150,ASPH-CONC-G,HIGH,175,225,400,900,G
LAX,ALL/ALL/ALL,AIRPORT,Y-L,07R/25L,11095,200,ASPH-CONC-G,HIGH,175,225,400,900,G
MER,ALL/ALL/0900-1800,AIRPORT,Y-L,13/31,11802,150,ASPH-CONC-G,HIGH,155,200,415,720,G
MCE,ALL/ALL/0600-1800,AIRPORT,Y-L,12/30,5914,150,ASPH-G,HIGH,30,100,155,,G
MOD,"ALL/MON-FRI/0800 -1630",AIRPORT,Y-L,10L/28R,5904,150,ASPH-G,HIGH,60,200,400,,G
MOD,"ALL/MON-FRI/0800 -1630",AIRPORT,Y-L,10R/28L,3464,100,ASPH-G,MED,30,,,,G
SIY,ALL/ALL/0800-1700,AIRPORT,Y-L,17/35,7490,150,ASPH-G,MED,60,180,270,,G
MRY,ALL/ALL/ALL,AIRPORT,Y-L,10L/28R,3503,60,ASPH-F,MED,12,,,,G
MRY,ALL/ALL/ALL,AIRPORT,Y-L,10R/28L,7175,150,ASPH-G,HIGH,100,160,300,,G
APC,ALL/ALL/0700-2000,AIRPORT,Y-L,01R/19L,2510,75,ASPH-G,,13,,,,G
APC,ALL/ALL/0700-2000,AIRPORT,Y-L,01L/19R,5930,150,ASPH-G,MED,102,134,120,,G
APC,ALL/ALL/0700-2000,AIRPORT,Y-L,06/24,5008,150,CONC-F,MED,60,76,120,,G
EED,UNATNDD,AIRPORT,Y-L,11/29,5005,100,ASPH-P,MED,16,32,,,F
EED,UNATNDD,AIRPORT,Y-L,02/20,4235,100,ASPH-F,MED,16,32,,,F
OAK,ALL/ALL/ALL,AIRPORT,Y-L,10R/28L,6213,150,ASPH-G,HIGH,75,210,500,900,G
OAK,ALL/ALL/ALL,AIRPORT,Y-L,12/30,10520,150,ASPH-G,HIGH,75,210,500,900,G
OAK,ALL/ALL/ALL,AIRPORT,Y-L,15/33,3376,75,ASPH-G,MED,12,65,100,,G
OAK,ALL/ALL/ALL,AIRPORT,Y-L,10L/28R,5457,150,ASPH-G,HIGH,75,210,500,900,G
ONT,ALL/ALL/ALL,AIRPORT,Y-L,08R/26L,10200,150,CONC-G,HIGH,30,200,560,850,G
ONT,ALL/ALL/ALL,AIRPORT,Y-L,08L/26R,12197,150,CONC-G,HIGH,30,200,560,850,G
OXR,ALL/ALL/0500-0030,AIRPORT,Y-L,07/25,5953,100,ASPH-F,MED,91,126,174,117,F
TRM,ALL/ALL/0700-1800,AIRPORT,Y-L,17/35,8500,150,ASPH-G,MED,75,200,325,850,F
TRM,ALL/ALL/0700-1800,AIRPORT,Y-L,12/30,4995,100,ASPH-G,MED,20,60,,,G
PSP,ALL/ALL/ALL,AIRPORT,Y-L,13L/31R,4952,75,ASPH-G,MED,12,60,,,G
PSP,ALL/ALL/ALL,AIRPORT,Y-L,13R/31L,10000,150,ASPH-G,HIGH,105,200,330,800,G
PRB,ALL/ALL/0700-1800,AIRPORT,Y-L,01/19,6008,150,ASPH-G,HIGH,60,106,150,,G
PRB,ALL/ALL/0700-1800,AIRPORT,Y-L,13/31,4701,100,ASPH-G,MED,30,50,90,,G
PVF,ALL/ALL/0800-1700,AIRPORT,Y-L,05/23,3914,76,ASPH-G,MED,26,,,,F
PTV,MAY-OCT/ALL/0700-1900,AIRPORT,Y-L,12/30,5960,150,ASPH-G,HIGH,30,70,110,,F
PTV,NOV-APR/ALL/0800-1700,AIRPORT,Y-L,12/30,5960,150,ASPH-G,HIGH,30,70,110,,F
RBL,ALL/ALL/0700-DUSK,AIRPORT,Y-L,15/33,5431,100,ASPH-E,MED,30,65,,,G
RDD,ALL/ALL/ALL,AIRPORT,Y-L,16/34,7003,150,ASPH-G,HIGH,98,128,195,,G
RDD,ALL/ALL/ALL,AIRPORT,Y-L,12/30,5067,150,ASPH-G,MED,60,72,110,,G
O32,ALL/MON-FRI/0800-1530,AIRPORT,Y-L,16/34,3300,60,ASPH-E,MED,12,,,,G
SMF,ALL/ALL/ALL,AIRPORT,Y-L,17L/35R,8605,150,CONC-G,HIGH,120,239,439,961,G
SMF,ALL/ALL/ALL,AIRPORT,Y-L,17R/35L,8598,150,CONC-G,HIGH,120,239,439,961,G
MHR,ALL/TUE-FRI/0300-2330,AIRPORT,Y-L,04L/22R,6081,150,ASPH-G,MED,90,105,190,,G
MHR,ALL/SAT/0300-2100,AIRPORT,Y-L,04L/22R,6081,150,ASPH-G,MED,90,105,190,,G
MHR,ALL/SUN/0500-2100,AIRPORT,Y-L,04L/22R,6081,150,ASPH-G,MED,90,105,190,,G
MHR,ALL/MON/0500-2330,AIRPORT,Y-L,04L/22R,6081,150,ASPH-G,MED,90,105,190,,G
MHR,ALL/TUE-FRI/0300-2330,AIRPORT,Y-L,04R/22L,11301,150,ASPH-CONC-G,HIGH,160,280,500,,G
MHR,ALL/SAT/0300-2100,AIRPORT,Y-L,04R/22L,11301,150,ASPH-CONC-G,HIGH,160,280,500,,G
MHR,ALL/SUN/0500-2100,AIRPORT,Y-L,04R/22L,11301,150,ASPH-CONC-G,HIGH,160,280,500,,G
MHR,ALL/MON/0500-2330,AIRPORT,Y-L,04R/22L,11301,150,ASPH-CONC-G,HIGH,160,280,500,,G
SAC,ALL/ALL/0800-1600,AIRPORT,Y-L,12/30,3837,100,ASPH-G,MED,30,43,67,,G
SAC,ALL/ALL/0800-1600,AIRPORT,Y-L,02/20,5503,150,ASPH-G,MED,60,130,210,,G
MCC,ALL/ALL/ALL,AIRPORT,Y,16/34,10599,150,CONC-G,HIGH,155,300,500,,G
SNS,ALL/ALL/ALL,AIRPORT,Y-L,08/26,6004,150,ASPH-G,MED,25,32,62,,G
SNS,ALL/ALL/ALL,AIRPORT,Y-L,13/31,4825,150,ASPH-G,HIGH,65,100,170,,G
SBD,ALL/MON-SUN/0700-2100,AIRPORT,Y-L,06/24,10000,200,CONC-E,HIGH,97,265,890,960,G
SAN,ALL/ALL/ALL,AIRPORT,Y-L,09/27,9401,200,ASPH-CONC-E,HIGH,100,150,250,720,G
SFO,ALL/ALL/ALL,AIRPORT,Y-L,10R/28L,11381,200,ASPH-G,HIGH,75,200,400,877,G
SFO,ALL/ALL/ALL,AIRPORT,Y-L,01L/19R,7650,200,ASPH-G,HIGH,75,200,400,877,G
SFO,ALL/ALL/ALL,AIRPORT,Y-L,01R/19L,8650,200,ASPH-G,HIGH,75,200,400,877,G
SFO,ALL/ALL/ALL,AIRPORT,Y-L,10L/28R,11870,200,ASPH-G,HIGH,75,200,400,877,G
SJC,ALL/ALL/ALL,AIRPORT,Y-L,12L/30R,11000,150,CONC-G,HIGH,220,250,605,,G
SJC,ALL/ALL/ALL,AIRPORT,Y-L,12R/30L,11000,150,CONC-G,HIGH,220,250,605,875,G
SBP,ALL/ALL/0600-1700,AIRPORT,Y-L,07/25,2500,100,ASPH-G,,12,12,,,G
SBP,ALL/ALL/0600-1700,AIRPORT,Y-L,11/29,6101,150,ASPH-G,HIGH,112,147,,,G
SNA,ALL/ALL/ALL,AIRPORT,Y-L,02L/20R,5700,150,ASPH-G,HIGH,70,200,300,,G
SNA,ALL/ALL/ALL,AIRPORT,Y-L,02R/20L,2886,75,ASPH-G,MED,25,60,,,G
SBA,ALL/ALL/0600-2300,AIRPORT,Y-L,15R/33L,4184,100,ASPH-G,MED,48,63,100,,G
SBA,ALL/ALL/0600-2300,AIRPORT,Y-L,07/25,6052,150,ASPH-G,HIGH,110,160,245,,G
