Dep_Airport_ID,Schedules,Facility_Type,Wind_Indicator,Runway_ID,Length,Width,Surface_Type_Condition,Edge_Light_Intensity,WBC_Single,WBC_Dual,WBC_Two_Dual,WBC_Tandem_Two_Dual,Base_Marking_Condition
SBA,ALL/ALL/0600-2300,AIRPORT,Y-L,15L/33R,4180,75,ASPH-G,,35,41,63,,G
SMX,ALL/ALL/0600-2200,AIRPORT,Y-L,12/30,8004,150,ASPH-G,HIGH,75,181,400,,G
SMX,ALL/ALL/0600-2200,AIRPORT,Y-L,02/20,5199,75,ASPH-G,,70,90,150,,G
STS,ALL/ALL/0600-2200,AIRPORT,Y-L,02/20,5202,100,ASPH-G,MED,109,154,254,,G
STS,ALL/ALL/0600-2200,AIRPORT,Y-L,14/32,6000,150,ASPH-G,HIGH,120,184,300,,G
MIT,ALL/MON-FRI/0800-1700,AIRPORT,Y-L,08/26,3680,60,ASPH-G,,125,,,,G
MIT,ALL/MON-FRI/0800-1700,AIRPORT,Y-L,12/30,4501,100,ASPH-G,MED,22,,,,G
MIT,ALL/MON-FRI/0800-1700,AIRPORT,Y-L,17/35,2972,100,CONC-G,,25,30,,,G
TVL,"ALL/ /0700-1600",AIRPORT,Y-L,18/36,8541,100,ASPH-E,MED,70,125,210,,G
SCK,ALL/ALL/ALL,AIRPORT,Y-L,11L/29R,10249,150,ASPH-G,HIGH,40,150,360,650,G
SCK,ALL/ALL/ALL,AIRPORT,Y-L,11R/29L,4448,75,ASPH-G,,12,,,,G
SCK,ALL/ALL/ALL,AIRPORT,Y-L,H1,70,70,CONC-G,,45,55,,,
TOA,ALL/ALL/0600-2200,AIRPORT,Y-L,11L/29R,5001,150,ASPH-CONC-F,MED,30,50,90,,F
TOA,ALL/ALL/0600-2200,AIRPORT,Y-L,11R/29L,3000,75,ASPH-CONC-F,MED,28,,,,F
TRK,ALL/ALL/0700-2130,AIRPORT,Y-L,02/20,4654,75,ASPH-G,MED,35,50,,,G
TRK,ALL/ALL/0700-2130,AIRPORT,Y-L,11/29,7001,100,ASPH-G,MED,50,80,,,G
UKI,MAY/SAT-SUN/0930-1930,AIRPORT,Y-L,15/33,4423,150,ASPH-E,MED,28,,,,G
UKI,MAY/MON-FRI/0800-1930,AIRPORT,Y-L,15/33,4423,150,ASPH-E,MED,28,,,,G
UKI,DEC-APR/ALL/0800-1730,AIRPORT,Y-L,15/33,4423,150,ASPH-E,MED,28,,,,G
UKI,NOV/ALL/0800-1800,AIRPORT,Y-L,15/33,4423,150,ASPH-E,MED,28,,,,G
UKI,OCT/ALL/0800-1930,AIRPORT,Y-L,15/33,4423,150,ASPH-E,MED,28,,,,G
UKI,SEP/SAT-SUN/0930-2000,AIRPORT,Y-L,15/33,4423,150,ASPH-E,MED,28,,,,G
UKI,SEP/MON-FRI/0800-2000,AIRPORT,Y-L,15/33,4423,150,ASPH-E,MED,28,,,,G
UKI,JUL-AUG/SAT-SUN/1000-2030,AIRPORT,Y-L,15/33,4423,150,ASPH-E,MED,28,,,,G
UKI,JUL-AUG/MON-FRI/0800-2030,AIRPORT,Y-L,15/33,4423,150,ASPH-E,MED,28,,,,G
UKI,JUN/SAT-SUN/0930-2000,AIRPORT,Y-L,15/33,4423,150,ASPH-E,MED,28,,,,G
UKI,JUN/MON-FRI/0800-2000,AIRPORT,Y-L,15/33,4423,150,ASPH-E,MED,28,,,,G
VNY,ALL/ALL/ALL,AIRPORT,Y-L,16R/34L,8001,150,ASPH-G,HIGH,90,120,210,,G
VNY,ALL/ALL/ALL,AIRPORT,Y-L,16L/34R,4013,75,ASPH-G,MED,14,,,,F
WVI,ALL/ALL/0900-1700,AIRPORT,Y-L,09/27,3998,98,ASPH-F,,45,65,,,F
WVI,ALL/ALL/0900-1700,AIRPORT,Y-L,02/20,4502,149,ASPH-E,MED,81,96,167,,G
ALS,ALL/ALL/0800-1930,AIRPORT,Y-L,02/20,8521,100,ASPH-G,HIGH,52,70,,,F
ASE,ALL/ALL/0700-2300,AIRPORT,Y-L,15/33,8006,100,ASPH-G,MED,80,100,160,,G
1V6,ALL/ALL/0800-1700,AIRPORT,Y-L,11/29,5399,75,ASPH-G,MED,26,26,,,F
COS,ALL/ALL/ALL,AIRPORT,Y,13/31,8270,150,ASPH-G,MED,120,171,279,691,G
COS,ALL/ALL/ALL,AIRPORT,Y,17L/35R,13500,150,CONC-G,HIGH,120,250,550,1120,G
COS,ALL/ALL/ALL,AIRPORT,Y,17R/35L,11022,150,ASPH-G,HIGH,120,250,550,1120,G
CEZ,ALL/ALL/DAWN-DUSK,AIRPORT,Y-L,03/21,7205,100,ASPH-G,MED,40,56,,,G
BJC,ALL/ALL/ALL,AIRPORT,Y-L,12R/30L,7002,75,ASPH-G,MED,47,61,,,F
BJC,ALL/ALL/ALL,AIRPORT,Y-L,12L/30R,9000,100,ASPH-G,HIGH,65,105,150,,F
BJC,ALL/ALL/ALL,AIRPORT,Y-L,03/21,3600,75,ASPH-F,MED,40,45,65,,F
APA,ALL/ALL/ALL,AIRPORT,Y-L,17R/35L,7001,75,ASPH-G,MED,30,,,,G
APA,ALL/ALL/ALL,AIRPORT,Y-L,10/28,4800,75,ASPH-G,MED,12,,,,G
APA,ALL/ALL/ALL,AIRPORT,Y-L,17L/35R,10001,100,ASPH-G,MED,56,75,,,G
DRO,ALL/ALL/0400-2400,AIRPORT,Y-L,03/21,9201,150,ASPH-G,HIGH,95,150,210,,G
EGE,DEC-MAR/ALL/0700-2300,AIRPORT,Y-L,07/25,9000,150,ASPH-E,HIGH,75,140,255,,G
EGE,APR-NOV/ALL/0700-1900,AIRPORT,Y-L,07/25,9000,150,ASPH-E,HIGH,75,140,255,,G
FNL,ALL/ALL/ALL,AIRPORT,Y-L,15/33,8500,100,ASPH-G,HIGH,50,65,130,,G
FMM,ALL/MON-SAT/0800-1700,AIRPORT,Y-L,14/32,5731,75,ASPH-G,MED,30,,,,G
GNB,UNATNDD,AIRPORT,Y-L,09/27,5001,75,ASPH-F,LOW,15,15,,,P
GJT,ALL/ALL/0530-0000L,AIRPORT,Y-L,11/29,10503,150,ASPH-E,HIGH,110,180,260,,F
GJT,ALL/ALL/0530-0000L,AIRPORT,Y-L,04/22,5501,75,ASPH-G,MED,26,26,,,F
HDN,ALL/ALL/0600-2000,AIRPORT,Y-L,10/28,10000,150,ASPH-G,HIGH,75,170,260,,G
MVI,ALL/SAT-SUN/ON-CALL,AIRPORT,Y-L,02/20,5902,60,ASPH-F,MED,12,,,,F
MVI,ALL/MON-FRI/0800-1700,AIRPORT,Y-L,02/20,5902,60,ASPH-F,MED,12,,,,F
MTJ,DEC16-MAR31/ALL/0500-2100,AIRPORT,Y-L,17/35,10000,150,ASPH-G,HIGH,75,190,265,,G
MTJ,APR1-DEC15/ALL/0530-2100,AIRPORT,Y-L,17/35,10000,150,ASPH-G,HIGH,75,190,265,,G
MTJ,DEC16-MAR31/ALL/0500-2100,AIRPORT,Y-L,13/31,7510,100,ASPH-G,HIGH,65,90,150,,G
MTJ,APR1-DEC15/ALL/0530-2100,AIRPORT,Y-L,13/31,7510,100,ASPH-G,HIGH,65,90,150,,G
PUB,ALL/ALL/0500-2200,AIRPORT,Y,08L/26R,4690,75,ASPH-G,MED,20,,,,G
PUB,ALL/ALL/0500-2200,AIRPORT,Y,17/35,8310,150,ASPH-G,MED,93,110,170,,G
PUB,ALL/ALL/0500-2200,AIRPORT,Y,08R/26L,10498,150,ASPH-G,HIGH,75,170,250,,G
RIL,ALL/ALL/ALL,AIRPORT,Y-L,08/26,7000,100,ASPH-G,HIGH,90,200,250,,G
SBS,NOV-APR/ALL/0700-1700,AIRPORT,Y-L,14/32,4452,100,ASPH-G,HIGH,50,60,,,F
SBS,MAY-OCT/ALL/0700-1700,AIRPORT,Y-L,14/32,4452,100,ASPH-G,HIGH,50,60,,,F
BDR,ALL/ALL/0600-2400,AIRPORT,Y-L,11/29,4759,150,ASPH-F,HIGH,30,108,,,F
BDR,ALL/ALL/0600-2400,AIRPORT,Y-L,06/24,4677,100,ASPH-E,HIGH,57,80,,,G
GON,"ALL/ALL/0600- 2100",AIRPORT,Y-L,05/23,5000,150,ASPH-G,HIGH,90,113,200,,G
GON,"ALL/ALL/0600- 2100",AIRPORT,Y-L,15/33,4000,96,ASPH-G,HIGH,90,113,,,G
BDL,ALL/ALL/ALL,AIRPORT,Y-L,15/33,6847,150,ASPH-E,HIGH,200,200,350,,G
BDL,ALL/ALL/ALL,AIRPORT,Y-L,06/24,9510,200,ASPH-E,HIGH,200,200,350,710,G
IAD,ALL/ALL/ALL,AIRPORT,Y-L,01R/19L,11500,150,CONC-G,HIGH,200,250,450,875,G
IAD,ALL/ALL/ALL,AIRPORT,Y-L,01C/19C,11500,150,CONC-E,HIGH,200,250,450,875,G
IAD,ALL/ALL/ALL,AIRPORT,Y-L,12/30,10501,150,CONC-G,HIGH,200,250,450,875,G
IAD,ALL/ALL/ALL,AIRPORT,Y-L,01L/19R,9400,150,CONC-E,HIGH,200,250,450,875,G
HEF,ALL/ALL/0630-2230,AIRPORT,Y-L,16L/34R,6200,100,ASPH-G,HIGH,50,140,,,G
HEF,ALL/ALL/0630-2230,AIRPORT,Y-L,16R/34L,3715,75,ASPH-E,MED,12,,,,G
BOW,ALL/ALL/0600-1800,AIRPORT,Y-L,05/23,5000,100,ASPH-P,MED,35,60,110,,G
BCT,ALL/ALL/ALL,AIRPORT,Y-L,05/23,6276,150,ASPH-G,MED,66,95,,,F
BKV,ALL/ALL/0600-2200,AIRPORT,Y-L,09/27,7001,150,CONC-G,MED,90,130,230,,G
BKV,ALL/ALL/0600-2200,AIRPORT,Y-L,03/21,5014,150,CONC-G,MED,50,75,135,,G
CEW,ALL/ALL/0600-2000,AIRPORT,Y-L,17/35,8006,150,ASPH-F,HIGH,60,120,170,,G
FLL,ALL/ALL/ALL,AIRPORT,Y,10L/28R,9000,150,ASPH-CONC-E,HIGH,100,200,468,800,G
FLL,ALL/ALL/ALL,AIRPORT,Y,10R/28L,8000,150,CONC-E,HIGH,120,247,461,987,G
FXE,ALL/ALL/ALL,AIRPORT,Y-L,13/31,4000,100,ASPH-G,MED,30,60,,,G
FXE,ALL/ALL/ALL,AIRPORT,Y-L,09/27,6002,100,ASPH-G,HIGH,56,81,,,G
RSW,ALL/ALL/0700-0100,AIRPORT,Y-L,06/24,12000,150,ASPH-F,HIGH,120,250,538,1045,G
FPR,ALL/ALL/0700-2100,AIRPORT,Y-L,10R/28L,6492,150,ASPH-F,MED,50,110,230,,G
FPR,ALL/ALL/0700-2100,AIRPORT,Y-L,14/32,4755,100,ASPH-E,MED,15,,,,G
FPR,ALL/ALL/0700-2100,AIRPORT,Y-L,10L/28R,4000,75,ASPH-G,MED,15,,,,G
JAX,ALL/ALL/ALL,AIRPORT,Y-L,14/32,7701,150,CONC-G,HIGH,120,250,480,1000,G
JAX,ALL/ALL/ALL,AIRPORT,Y-L,08/26,10000,150,CONC-G,HIGH,120,250,485,1005,F
CRG,ALL/SAT-SUN/0700-2200,AIRPORT,Y-L,14/32,4008,100,ASPH-E,HIGH,30,,,,F
CRG,ALL/MON-FRI/0600-2300,AIRPORT,Y-L,14/32,4008,100,ASPH-E,HIGH,30,,,,F
CRG,ALL/SAT-SUN/0700-2200,AIRPORT,Y-L,05/23,4004,100,ASPH-F,MED,30,,,,F
CRG,ALL/MON-FRI/0600-2300,AIRPORT,Y-L,05/23,4004,100,ASPH-F,MED,30,,,,F
EYW,ALL/ALL/0700-2300,AIRPORT,Y-L,09/27,5076,100,ASPH-E,MED,75,125,195,,F
LCQ,ALL/ALL/0800-1800,AIRPORT,Y-L,10/28,8003,150,ASPH-E,MED,75,105,250,,G
LAL,ALL/ALL/ALL,AIRPORT,Y,05/23,5000,150,ASPH-F,HIGH,94,150,,,G
LAL,ALL/ALL/ALL,AIRPORT,Y,10/28,8500,150,ASPH-E,HIGH,50,250,550,1120,G
MKY,ALL/ALL/0700-1900,AIRPORT,Y-L,17/35,5000,100,ASPH-G,MED,75,108,,,F
MLB,ALL/ALL/ALL,AIRPORT,Y-L,09L/27R,6000,150,ASPH-E,MED,60,60,,,G
MLB,ALL/ALL/ALL,AIRPORT,Y-L,05/23,3001,75,ASPH-E,MED,26,,,,G
MLB,ALL/ALL/ALL,AIRPORT,Y-L,09R/27L,10181,150,ASPH-E,HIGH,100,165,300,,G
MIA,ALL/ALL/ALL,AIRPORT,Y-L,09/27,13016,150,ASPH-G,HIGH,130,210,420,850,G
MIA,ALL/ALL/ALL,AIRPORT,Y-L,08L/26R,8600,150,ASPH-G,HIGH,130,210,420,850,G
MIA,ALL/ALL/ALL,AIRPORT,Y-L,08R/26L,10506,200,ASPH-G,HIGH,130,210,420,850,G
MIA,ALL/ALL/ALL,AIRPORT,Y-L,12/30,9360,150,ASPH-G,HIGH,130,210,420,850,G
2R4,ALL/ALL/0700-DUSK,AIRPORT,Y-L,18/36,3701,75,ASPH-G,MED,22,,,,F
EVB,ALL/ALL/0700-2200,AIRPORT,Y-L,02/20,4000,100,ASPH-P,,55,,,,G
EVB,ALL/ALL/0700-2200,AIRPORT,Y-L,07/25,5000,75,ASPH-G,MED,55,,,,F
EVB,ALL/ALL/0700-2200,AIRPORT,Y-L,11/29,4319,75,ASPH-G,MED,55,,,,F
OCF,ALL/ALL/0600-2100,AIRPORT,Y-L,18/36,7467,150,ASPH-G,HIGH,111,181,328,,F
OCF,ALL/ALL/0600-2100,AIRPORT,Y-L,08/26,3009,50,ASPH-G,,30,,,,F
ISM,ALL/ALL/0700-2200,AIRPORT,Y-L,15/33,6001,100,ASPH-G,MED,114,189,300,,G
ISM,ALL/ALL/0700-2200,AIRPORT,Y-L,06/24,5001,100,ASPH-G,MED,89,140,,,F
MCO,ALL/ALL/ALL,AIRPORT,Y-L,17L/35R,9001,150,CONC-G,HIGH,75,210,420,900,G
MCO,ALL/ALL/ALL,AIRPORT,Y-L,17R/35L,10000,150,CONC-G,HIGH,75,210,400,,G
MCO,ALL/ALL/ALL,AIRPORT,Y-L,18L/36R,12005,200,ASPH-CONC-G,HIGH,165,200,400,,G
MCO,ALL/ALL/ALL,AIRPORT,Y-L,18R/36L,12004,200,ASPH-CONC-G,HIGH,100,200,400,,G
ORL,ALL/ALL/ALL,AIRPORT,Y-L,13/31,4625,100,ASPH-F,HIGH,35,60,,,F
ORL,ALL/ALL/ALL,AIRPORT,Y-L,07/25,6004,150,ASPH-F,HIGH,45,100,115,,G
ECP,ALL/ALL/ALL,AIRPORT,Y-L,16/34,10000,150,CONC-E,HIGH,100,155,400,750,G
SRQ,ALL/ALL/ALL,AIRPORT,Y-L,04/22,5006,150,ASPH-G,HIGH,120,219,404,,F
SRQ,ALL/ALL/ALL,AIRPORT,Y-L,14/32,9500,150,ASPH-F,HIGH,118,196,358,,F
SUA,ALL/ALL/0800-2300,AIRPORT,Y-L,16/34,5000,100,ASPH-E,,55,90,160,,G
SUA,ALL/ALL/0800-2300,AIRPORT,Y-L,07/25,4653,100,ASPH-F,MED,58,95,170,,G
SUA,ALL/ALL/0800-2300,AIRPORT,Y-L,12/30,5828,100,ASPH-G,MED,65,105,190,,G
TLH,ALL/ALL/ALL,AIRPORT,Y-L,09/27,8000,150,ASPH-G,HIGH,115,170,330,,G
TLH,ALL/ALL/ALL,AIRPORT,Y-L,18/36,7000,150,ASPH-P,HIGH,115,170,330,,F
X21,ALL/ALL/0800-2000,AIRPORT,Y-L,15/33,2961,70,ASPH-G,MED,12,,,,G
TIX,ALL/ALL/0700-2100,AIRPORT,Y-L,18/36,7319,150,ASPH-F,HIGH,80,110,190,,F
TIX,ALL/ALL/0700-2100,AIRPORT,Y-L,09/27,5000,100,ASPH-E,MED,50,80,,,F
VNC,ALL/ALL/0700-1900,AIRPORT,Y-L,05/23,5000,150,ASPH-G,MED,75,108,,,G
VNC,ALL/ALL/0700-1900,AIRPORT,Y-L,13/31,5640,150,ASPH-G,MED,75,108,,,G
X60,ALL/ALL/0730-1730,AIRPORT,Y-L,05/23,6669,100,CONC-G,HIGH,72,95,160,,F
X60,ALL/ALL/0730-1730,AIRPORT,Y-L,14/32,4979,60,ASPH-G,MED,38,,,,F
AHN,ALL/ALL/0600-2100,AIRPORT,Y,02/20,3995,100,ASPH-F,MED,40,45,,,P
AHN,ALL/ALL/0600-2100,AIRPORT,Y,09/27,6122,100,ASPH-E,HIGH,65,125,,,G
FFC,NOVEMBER/26/0700-1200,AIRPORT,Y-L,13/31,5768,100,ASPH-G,MED,48,60,,,F
FFC,DECEMBER/25/CLSD,AIRPORT,Y-L,13/31,5768,100,ASPH-G,MED,48,60,,,F
FFC,ALL/ALL/0700-2000,AIRPORT,Y-L,13/31,5768,100,ASPH-G,MED,48,60,,,F
FFC,DECEMBER/24/0700-1200,AIRPORT,Y-L,13/31,5768,100,ASPH-G,MED,48,60,,,F
PDK,ALL/ALL/ALL,AIRPORT,Y-L,03L/21R,3746,150,ASPH-F,MED,20,,,,G
PDK,ALL/ALL/ALL,AIRPORT,Y-L,03R/21L,6001,100,CONC-G,HIGH,46,75,,,G
PDK,ALL/ALL/ALL,AIRPORT,Y-L,16/34,3968,150,ASPH-F,MED,20,,,,F
DNL,ALL/ALL/0700-DUSK,AIRPORT,Y-L,11/29,3733,100,ASPH-G,MED,30,,,,G
DNL,ALL/ALL/0700-DUSK,AIRPORT,Y-L,05/23,4002,100,ASPH-G,MED,30,,,,G
AGS,ALL/ALL/ALL,AIRPORT,Y,17/35,8001,150,CONC-G,HIGH,155,160,450,975,G
AGS,ALL/ALL/ALL,AIRPORT,Y,08/26,6002,75,ASPH-E,MED,52,71,126,,G
18A,UNATNDD,AIRPORT,Y-L,08/26,5000,75,ASPH-G,MED,15,,,,G
CNI,ALL/ALL/0800-1800,AIRPORT,Y-L,05/23,5003,75,ASPH-G,MED,26,,,,G
CTJ,ALL/SUN/1300-1700,AIRPORT,Y-L,17/35,5503,100,ASPH-G,HIGH,43,56,83,,G
CTJ,ALL/MON-SAT/0800-1800,AIRPORT,Y-L,17/35,5503,100,ASPH-G,HIGH,43,56,83,,G
48A,ALL/MON-SAT/0800-1200,AIRPORT,Y-L,05/23,3202,50,ASPH-F,,25,,,,G
HMP,ALL/MON-FRI/0800-1700,AIRPORT,Y-L,06/24,5509,100,ASPH-G,MED,30,45,,,G
AZE,ALL/MON-FRI/0800-1700,AIRPORT,Y-L,14/32,5012,75,ASPH-G,MED,30,,,,G
JZP,ALL/ALL/0900-1800,AIRPORT,Y-L,16/34,5000,100,ASPH-F,MED,60,95,,,F
09J,ALL/ALL/0900-1600,AIRPORT,Y-L,18/36,3715,75,ASPH-G,MED,20,,,,G
LZU,ALL/ALL/ALL,AIRPORT,Y-L,07/25,6001,100,ASPH-G,HIGH,93,120,,,G
SAV,ALL/ALL/0600-2300,AIRPORT,Y-L,10/28,9351,150,CONC-G,HIGH,75,190,310,,G
SAV,ALL/ALL/0600-2300,AIRPORT,Y-L,01/19,7002,150,CONC-G,HIGH,75,190,310,,G
OPN,ALL/ALL/0800-1800,AIRPORT,Y-L,12/30,6350,100,ASPH-G,MED,20,50,,,G
VDI,ALL/ALL/0800-1800,AIRPORT,Y-L,07/25,6002,100,CONC-F,HIGH,30,48,85,,F
VDI,ALL/ALL/0800-1800,AIRPORT,Y-L,14/32,5002,75,CONC-G,,30,48,85,,G
WDR,ALL/SAT/0900-1700,AIRPORT,Y-L,05/23,3607,100,ASPH-G,MED,20,,,,G
WDR,ALL/M-F/0900-1800,AIRPORT,Y-L,05/23,3607,100,ASPH-G,MED,20,,,,G
WDR,ALL/SUN/1100-1700,AIRPORT,Y-L,05/23,3607,100,ASPH-G,MED,20,,,,G
WDR,ALL/SAT/0900-1700,AIRPORT,Y-L,13/31,5202,100,ASPH-G,HIGH,20,,,,G
WDR,ALL/M-F/0900-1800,AIRPORT,Y-L,13/31,5202,100,ASPH-G,HIGH,20,,,,G
WDR,ALL/SUN/1100-1700,AIRPORT,Y-L,13/31,5202,100,ASPH-G,HIGH,20,,,,G
BOI,ALL/ALL/ALL,AIRPORT,Y-L,10L/28R,10000,150,ASPH-G,HIGH,100,210,446,947,G
BOI,ALL/ALL/ALL,AIRPORT,Y-L,10R/28L,9763,150,ASPH-G,HIGH,100,210,430,994,G
65S,ALL/SAT/0800-1600,AIRPORT,Y-L,02/20,4002,75,ASPH-G,MED,25,,,,G
65S,ALL/MON-FRI/0800-1700,AIRPORT,Y-L,02/20,4002,75,ASPH-G,MED,25,,,,G
LLJ,ALL/MON-FRI/0700-1700,AIRPORT,Y-L,17/35,4601,60,ASPH-E,MED,30,,,,G
COE,ALL/ALL/0700-1700,AIRPORT,Y-L,02/20,5400,75,ASPH-G,MED,50,83,150,,G
COE,ALL/ALL/0700-1700,AIRPORT,Y-L,06/24,7400,100,ASPH-G,HIGH,57,95,165,,G
GIC,UNATNDD,AIRPORT,Y-L,08/26,5101,75,ASPH-E,MED,75,95,145,,G
SUN,ALL/ALL/0700-2300,AIRPORT,Y-L,13/31,7550,100,ASPH-G,HIGH,65,95,150,,G
IDA,ALL/ALL/0530-2130,AIRPORT,Y-L,03/21,9002,150,ASPH-G,HIGH,140,175,270,,G
IDA,ALL/ALL/0530-2130,AIRPORT,Y-L,17/35,3964,75,ASPH-G,MED,43,58,,,G
JER,ALL/ALL/0800-1700,AIRPORT,Y-L,09/27,5002,75,ASPH-E,MED,20,,,,G
LWS,ALL/ALL/0530-2100,AIRPORT,Y-L,12/30,5003,75,ASPH-E,MED,118,196,,,G
LWS,ALL/ALL/0530-2100,AIRPORT,Y-L,08/26,6511,150,ASPH-E,HIGH,150,180,400,,G
MYL,MAY-SEP/ALL/0800L-1800L,AIRPORT,Y-L,16/34,6101,75,ASPH-G,MED,86,141,261,,G
MYL,OCT-APR/ALL/0900L-1600L,AIRPORT,Y-L,16/34,6101,75,ASPH-G,MED,86,141,261,,G
MAN,ALL/ALL/0800-1700,AIRPORT,Y-L,11/29,5000,75,ASPH-G,MED,26,50,60,,F
PIH,ALL/ALL/0600-2200,AIRPORT,Y-L,03/21,9059,150,ASPH-G,HIGH,100,160,265,,G
PIH,ALL/ALL/0600-2200,AIRPORT,Y-L,17/35,7150,100,ASPH-G,MED,74,110,199,,F
U10,ALL/ALL/DALGT,AIRPORT,Y-L,04/22,3558,60,ASPH-G,MED,12,,,,G
SMN,ALL/ALL/0800-1700,AIRPORT,Y-L,17/35,5510,75,ASPH-G,MED,12,,,,G
SZT,SUMMER/ALL/0700-1700,AIRPORT,Y-L,02/20,5501,75,ASPH-G,MED,40,,,,G
SZT,WINTER/ALL/0800-1700,AIRPORT,Y-L,02/20,5501,75,ASPH-G,MED,40,,,,G
TWF,ALL/ALL/0630-2000,AIRPORT,Y-L,08/26,8704,150,ASPH-G,HIGH,75,200,250,,G
TWF,ALL/ALL/0630-2000,AIRPORT,Y-L,12/30,3224,75,ASPH-F,,19,,,,G
