Dep_Airport_ID,Schedules
EET,ALL/ALL/0700-1900
BHM,ALL/ALL/ALL
DHN,ALL/ALL/ALL
EDN,"ALL/MONDAY - FRIDAY/0700 - 1700"
EDN,"ALL/SATURDAY/0800 - 1700"
EDN,ALL/SUNDAY/UNATNDD
BFM,ALL/ALL/0700-2300
IFP,ALL/ALL/ALL
P52,ALL/ALL/0800-1700
FLG,ALL/ALL/ALL
FHU,ALL/MON-FRI/1400-2230Z
GEU,ALL/ALL/0630-1930
P13,UNATNDD
GYR,ALL/ALL/ALL
IGM,ALL/MON-FRI/0600-1600
IGM,ALL/SAT-SUN/0600-1400
HII,ALL/ALL/0800-1700
MZJ,ALL/ALL/0700-1530
FFZ,ALL/ALL/ALL
OLS,ALL/ALL/0700-1900
PGA,ALL/ALL/DALGT
P20,ALL/ALL/0800-1700
PAN,ALL/MON-FRI/0700-1600
PAN,ALL/SAT-SUN/0700-1200
DVT,ALL/ALL/ALL
IWA,ALL/ALL/ALL
PHX,ALL/ALL/ALL
PRC,ALL/ALL/0600-2200
SAD,ALL/MON-SAT/0800-1700
SAD,"ALL/SUN/ON CALL"
SEZ,MAY-SEP/ALL/0700-1800
SEZ,OCT-APR/ALL/0700-1700
SDL,ALL/ALL/ALL
JTC,ALL/ALL/0800-1600
AVQ,ALL/ALL/0700-1730
TUS,ALL/ALL/ALL
RYN,ALL/SAT/0800-1700
RYN,ALL/M-F/0800-1700
E25,ALL/TUE-SAT/0700-1600
INW,ALL/MON-FRI/0700-1800
INW,ALL/SAT-SUN/0800-1700
NYL,ALL/ALL/
FYV,ALL/SAT-SUN/0800-2000
FYV,ALL/MON-FRI/0600-2200
FSM,ALL/ALL/ALL
HOT,ALL/ALL/0500-2200
JBR,ALL/ALL/0600-2100
LIT,ALL/ALL/ALL
SGT,FEB-OCT/MON-FRI/0800-1600
SGT,NOV-JAN/ALL/0800-2000
TXK,ALL/ALL/0600-2200
APV,ALL/ALL/0800-1700
ACV,"ALL/ALL /0400-2359"
AUN,ALL/ALL/0800-1800
BFL,ALL/ALL/ALL
L35,ALL/ALL/0800-1700
BUR,ALL/ALL/ALL
C83,ALL/ALL/0700-1400
CMA,ALL/ALL/0700-2300
CRQ,ALL/ALL/0700-2200
CIC,ALL/ALL/0700-1900
CNO,ALL/ALL/ALL
O22,ALL/ALL/0800-1700
CEC,ALL/ALL/0800-1800
DAG,ALL/ALL/0630-1700
EMT,ALL/ALL/ALL
FOT,UNATNDD
FAT,ALL/ALL/ALL
FUL,ALL/ALL/0700-2100
HAF,ALL/ALL/0830-1630
HMT,ALL/ALL/DALGT
WJF,ALL/ALL/ALL
NLC,ALL/MON-FRI/1600-0800Z++
NLC,ALL/SAT-SUN/1800-0200Z++
LHM,"ALL/MON-FRI/0630 - 1500"
LVK,ALL/MON-FRI/0730-1700
LVK,ALL/SAT-SUN/0700-1100
LGB,ALL/ALL/ALL
SLI,ALL/TUE-THU/1400-0600Z++
SLI,ALL/FRI-MON/1400-2300Z++
WHP,ALL/ALL/ALL
LAX,ALL/ALL/ALL
MER,ALL/ALL/0900-1800
MCE,ALL/ALL/0600-1800
MOD,"ALL/MON-FRI/0800 -1630"
SIY,ALL/ALL/0800-1700
MRY,ALL/ALL/ALL
NUQ,ALL/ALL/ALL
APC,ALL/ALL/0700-2000
EED,UNATNDD
OAK,ALL/ALL/ALL
ONT,ALL/ALL/ALL
OXR,ALL/ALL/0500-0030
PMD,ALL/ALL/1330-0600Z++
TRM,ALL/ALL/0700-1800
PSP,ALL/ALL/ALL
PRB,ALL/ALL/0700-1800
PVF,ALL/ALL/0800-1700
PTV,NOV-APR/ALL/0800-1700
PTV,MAY-OCT/ALL/0700-1900
RBL,ALL/ALL/0700-DUSK
RDD,ALL/ALL/ALL
O32,ALL/MON-FRI/0800-1530
RIV,ALL/ALL/0700-2300
SMF,ALL/ALL/ALL
MHR,ALL/MON/0500-2330
MHR,ALL/SUN/0500-2100
MHR,ALL/SAT/0300-2100
MHR,ALL/TUE-FRI/0300-2330
SAC,ALL/ALL/0800-1600
MCC,ALL/ALL/ALL
SNS,ALL/ALL/ALL
SBD,ALL/MON-SUN/0700-2100
SAN,ALL/ALL/ALL
SFO,ALL/ALL/ALL
SJC,ALL/ALL/ALL
SBP,ALL/ALL/0600-1700
SNA,ALL/ALL/ALL
SBA,ALL/ALL/0600-2300
SMX,ALL/ALL/0600-2200
STS,ALL/ALL/0600-2200
MIT,ALL/MON-FRI/0800-1700
TVL,"ALL/ /0700-1600"
SCK,ALL/ALL/ALL
TOA,ALL/ALL/0600-2200
TRK,ALL/ALL/0700-2130
UKI,JUN/MON-FRI/0800-2000
UKI,JUN/SAT-SUN/0930-2000
UKI,JUL-AUG/MON-FRI/0800-2030
UKI,JUL-AUG/SAT-SUN/1000-2030
UKI,SEP/MON-FRI/0800-2000
UKI,SEP/SAT-SUN/0930-2000
UKI,OCT/ALL/0800-1930
UKI,NOV/ALL/0800-1800
UKI,DEC-APR/ALL/0800-1730
UKI,MAY/MON-FRI/0800-1930
UKI,MAY/SAT-SUN/0930-1930
VNY,ALL/ALL/ALL
WVI,ALL/ALL/0900-1700
ALS,ALL/ALL/0800-1930
ASE,ALL/ALL/0700-2300
1V6,ALL/ALL/0800-1700
COS,ALL/ALL/ALL
CEZ,ALL/ALL/DAWN-DUSK
BJC,ALL/ALL/ALL
APA,ALL/ALL/ALL
DRO,ALL/ALL/0400-2400
EGE,APR-NOV/ALL/0700-1900
EGE,DEC-MAR/ALL/0700-2300
FNL,ALL/ALL/ALL
FMM,ALL/MON-SAT/0800-1700
GNB,UNATNDD
GJT,ALL/ALL/0530-0000L
HDN,ALL/ALL/0600-2000
MVI,ALL/MON-FRI/0800-1700
MVI,ALL/SAT-SUN/ON-CALL
MTJ,APR1-DEC15/ALL/0530-2100
MTJ,DEC16-MAR31/ALL/0500-2100
PUB,ALL/ALL/0500-2200
RIL,ALL/ALL/ALL
SBS,MAY-OCT/ALL/0700-1700
SBS,NOV-APR/ALL/0700-1700
BDR,ALL/ALL/0600-2400
GON,"ALL/ALL/0600- 2100"
BDL,ALL/ALL/ALL
IAD,ALL/ALL/ALL
HEF,ALL/ALL/0630-2230
BOW,ALL/ALL/0600-1800
BCT,ALL/ALL/ALL
BKV,ALL/ALL/0600-2200
CLW,ALL/ALL/0700-2300
CEW,ALL/ALL/0600-2000
FLL,ALL/ALL/ALL
FXE,ALL/ALL/ALL
RSW,ALL/ALL/0700-0100
FPR,ALL/ALL/0700-2100
JAX,ALL/ALL/ALL
VQQ,ALL/MON-FRI/0700-2300
VQQ,ALL/SAT-SUN/0700-2100
CRG,ALL/MON-FRI/0600-2300
CRG,ALL/SAT-SUN/0700-2200
EYW,ALL/ALL/0700-2300
LCQ,ALL/ALL/0800-1800
LAL,ALL/ALL/ALL
MKY,ALL/ALL/0700-1900
MLB,ALL/ALL/ALL
MIA,ALL/ALL/ALL
2R4,ALL/ALL/0700-DUSK
APF,ALL/ALL/0600-2200
EVB,ALL/ALL/0700-2200
OCF,ALL/ALL/0600-2100
ISM,ALL/ALL/0700-2200
MCO,ALL/ALL/ALL
ORL,ALL/ALL/ALL
ECP,ALL/ALL/ALL
SRQ,ALL/ALL/ALL
SUA,ALL/ALL/0800-2300
TLH,ALL/ALL/ALL
X21,ALL/ALL/0800-2000
TIX,ALL/ALL/0700-2100
VNC,ALL/ALL/0700-1900
X60,ALL/ALL/0730-1730
AHN,ALL/ALL/0600-2100
FFC,DECEMBER/24/0700-1200
FFC,ALL/ALL/0700-2000
FFC,DECEMBER/25/CLSD
FFC,NOVEMBER/26/0700-1200
RYY,ALL/ALL/0600-0000
PDK,ALL/ALL/ALL
DNL,ALL/ALL/0700-DUSK
AGS,ALL/ALL/ALL
18A,UNATNDD
CNI,ALL/ALL/0800-1800
CTJ,ALL/MON-SAT/0800-1800
CTJ,ALL/SUN/1300-1700
48A,ALL/MON-SAT/0800-1200
HMP,ALL/MON-FRI/0800-1700
AZE,ALL/MON-FRI/0800-1700
JZP,ALL/ALL/0900-1800
09J,ALL/ALL/0900-1600
LZU,ALL/ALL/ALL
SAV,ALL/ALL/0600-2300
OPN,ALL/ALL/0800-1800
VDI,ALL/ALL/0800-1800
WDR,ALL/SUN/1100-1700
WDR,ALL/M-F/0900-1800
WDR,ALL/SAT/0900-1700
BOI,ALL/ALL/ALL
65S,ALL/MON-FRI/0800-1700
65S,ALL/SAT/0800-1600
LLJ,ALL/MON-FRI/0700-1700
COE,ALL/ALL/0700-1700
GIC,UNATNDD
SUN,ALL/ALL/0700-2300
IDA,ALL/ALL/0530-2130
JER,ALL/ALL/0800-1700
LWS,ALL/ALL/0530-2100
MYL,OCT-APR/ALL/0900L-1600L
MYL,MAY-SEP/ALL/0800L-1800L
MAN,ALL/ALL/0800-1700
PIH,ALL/ALL/0600-2200
U10,ALL/ALL/DALGT
SMN,ALL/ALL/0800-1700
SZT,WINTER/ALL/0800-1700
SZT,SUMMER/ALL/0700-1700
TWF,ALL/ALL/0630-2000
CPS,ALL/ALL/ALL
UGN,ALL/ALL/ALL
DPA,ALL/ALL/ALL
MLI,ALL/ALL/ALL
PIA,ALL/ALL/ALL
RFD,ALL/ALL/ALL
SPI,ALL/ALL/0530-0000
BAK,ALL/ALL/0600-2000
EVV,ALL/ALL/ALL
GYY,ALL/ALL/ALL
HFY,ALL/MON-SAT/0700-1900
HFY,ALL/SUN/0800-1700
IND,ALL/ALL/ALL
LAF,ALL/ALL/0600-2200
RID,ALL/ALL/0800-1745
DBQ,ALL/ALL/0600-2200
GCK,ALL/ALL/0700-2100
HUT,ALL/MON-FRI/0800-1800
HUT,ALL/SAT-SUN/0800-1700
LBL,ALL/MON-FRI/0600-2000
LBL,ALL/SAT-SUN/0700-2000
EWK,ALL/ALL/0700-2300
TOP,ALL/ALL/0700-2100
ICT,ALL/ALL/ALL
AAO,ALL/ALL/ALL
IAB,ALL/ALL/ALL
BWG,ALL/ALL/ALL
FFT,ALL/MON-FRI/0700-2000
FFT,ALL/SAT-SUN/0900-1800
GLW,ALL/MON-SAT/0800-1700
LOZ,NOV-MAR/SAT-SUN/0800-1900
LOZ,APR-OCT/MON-FRI/0700-2000
LOZ,APR-OCT/SAT-SUN/0800-2000
LOZ,NOV-MAR/MON-FRI/0700-1900
2I0,ALL/MON-FRI/0700-1700
2I0,ALL/HOLIDAY/0800-1700
2I0,ALL/SAT-SUN/0800-1700
M25,ALL/ALL/0700-1500
EKQ,ALL/MON-SAT/0830-1730
EKQ,ALL/SUN/UNATNDD
IOB,ALL/ALL/0800-1800
PAH,ALL/ALL/0500-1800
SJS,ALL/ALL/0800-DUSK
HUM,ALL/ALL/0600-1900
LFT,ALL/ALL/ALL
MLU,ALL/ALL/ALL
NEW,ALL/ALL/ALL
SHV,ALL/ALL/ALL
TVR,ALL/ALL/0700-1900
BGR,ALL/ALL/ALL
RKD,ALL/MON-FRI/0600-1700
SFM,OCT-MAY/ALL/0700-1700
SFM,JUN-SEPT/ALL/0700-1900
BWI,ALL/ALL/ALL
FDK,ALL/ALL/0700-2100++
AQW,ALL/ALL/0800-1630
OWD,"ALL/MON - FRI/0800-1700"
GLR,MAY-OCT/ALL/0730-1800
GLR,NOV-APR/ALL/0630-1700
OZW,ALL/SAT-SUN/0800-1200
OZW,ALL/MON-FRI/0700-1700
LAN,ALL/ALL/ALL
SAW,ALL/ALL/0500-2000
OSC,ALL/MON-FRI/0800-1700
OSC,"ALL/SAT-SUN/ON CALL"
PLN,ALL/ALL/0600-2300
LWA,ALL/ALL/0900-1700
TVC,ALL/ALL/0400-0100
AIT,APR-OCT/ALL/0800-1700
AIT,NOV-MAR/MON-FRI/0900-1700
AUM,ALL/SAT/0800-1600
AUM,ALL/SUN/0900-1500
AUM,ALL/MON-FRI/0800-1700
BJI,ALL/MON/0700-2100
BJI,ALL/SAT-SUN/0800-1700
BJI,ALL/TUE-FRI/0600-2100
BRD,JUL-OCT/ALL/0500-2300
BRD,NOV-JUN/ALL/0500-2300
COQ,ALL/MON-SAT/0800-1700
DLH,ALL/ALL/ALL
ELO,ALL/ALL/0800-1700
GPZ,NOV-MAR/ALL/0700-2000
GPZ,APR-OCT/ALL/0700-2100
HIB,ALL/ALL/0600-2200
INL,ALL/ALL/DALGT
MKT,ALL/SAT-SUN/0800-1900
MKT,ALL/MON-FRI/0700-2000
MSP,ALL/ALL/ALL
ANE,ALL/ALL/ALL
FCM,ALL/ALL/ALL
RST,ALL/ALL/ALL
STP,ALL/ALL/ALL
SGS,ALL/MON-SAT/0830-1700
SGS,ALL/SUN/0830-1530
TWM,NOV-APR/MON-FRI/0800-1700
TWM,MAY-OCT/SUN-SAT/0800-1700
RRT,ALL/MON-FRI/0700-1700
HSA,ALL/MON-FRI/0700-1900
HSA,ALL/SAT-SUN/0800-2000
GTR,ALL/ALL/ALL
JAN,ALL/ALL/ALL
MEI,ALL/ALL/0600-2200
HEZ,ALL/ALL/0600-2000
UOX,ALL/ALL/0700-1800
VKS,ALL/MON-FRI/0730-1700
M17,ALL/MON-SAT/0800-1700
BBG,ALL/ALL/ALL
CGI,ALL/MON-FRI/0600-1900
CGI,ALL/SAT-SUN/0600-1800
AIZ,MAY-SEP/MON-WED/0800-1800
AIZ,OCT-APR/ALL/0800-1800
AIZ,MAY-SEP/THU-SUN/0800-2000
MKC,ALL/ALL/ALL
TKX,ALL/SUN/1300-1700
TKX,ALL/MON-SAT/0800-1700
IRK,ALL/ALL/0530-2000
MBY,ALL/ALL/0800-1700
VIH,ALL/SAT-SUN/0700-1700
VIH,ALL/MON-FRI/0600-1700
SIK,ALL/ALL/0800-1700
SGF,ALL/ALL/ALL
BHK,ALL/MON-FRI/0800-1700
BHK,ALL/SAT/0800-1200
6S0,ALL/MON-FRI/0800-1700
6S0,"ALL/SAT-SUN/ON CALL"
BIL,ALL/ALL/ALL
BZN,ALL/ALL/0500-0100
8S0,UNATNDD
BTM,ALL/ALL/DAWN-DUSK
LTY,MAR-NOV/MON-FRI/0800-1700
LTY,DEC-FEB/IREG/
6S3,ALL/MON-FRI/0800-1700
CTB,ALL/ALL/0830-1730
