Dep_Airport_ID,ARP_Latitude,ARP_Longitude,Facility_Type,Wind_Indicator
ADK,051-53-00.9000N,176-38-32.9400W,AIRPORT,Y
7AK,054-08-40.6000N,165-36-14.7900W,AIRPORT,Y-L
6A8,066-33-06.6000N,152-37-19.8000W,AIRPORT,Y-L
BIG,063-59-42.6000N,145-43-12.2000W,AIRPORT,Y
AK15,070-20-39.4000N,150-56-41.1000W,AIRPORT,Y-L
BET,060-46-42.8000N,161-50-13.8000W,AIRPORT,Y-L
BGQ,061-32-04.8600N,149-48-45.1700W,AIRPORT,Y-L
9A3,061-34-44.6000N,159-12-56.3000W,AIRPORT,Y-L
CDB,055-12-21.3000N,162-43-34.5000W,AIRPORT,Y
DLG,059-02-40.8000N,158-30-19.8000W,AIRPORT,Y
GAL,064-44-10.2800N,156-56-04.4000W,AIRPORT,Y
EDF,061-15-04.8700N,149-48-23.4900W,AIRPORT,Y
FAI,064-48-55.2800N,147-51-24.0000W,AIRPORT,Y-L
FYU,066-34-20.7000N,145-14-46.8000W,AIRPORT,Y-L
GKN,062-09-15.6000N,145-27-19.0500W,AIRPORT,Y-L
GST,058-25-31.0000N,135-42-26.7000W,AIRPORT,Y
HNS,059-14-37.7900N,135-31-24.7400W,AIRPORT,Y-L
HOM,059-38-41.9800N,151-29-08.9100W,AIRPORT,Y-L
HPB,061-31-25.9300N,166-08-47.8400W,AIRPORT,Y-L
HLA,065-41-52.3000N,156-21-05.0000W,AIRPORT,Y-L
JNU,058-21-16.9600N,134-34-42.4900W,AIRPORT,Y-L
ENA,060-34-23.8000N,151-14-41.4000W,AIRPORT,Y-L
KTN,055-21-14.7000N,131-42-40.4000W,AIRPORT,Y-L
KVC,055-06-58.9800N,162-15-59.5300W,AIRPORT,Y-L
ADQ,057-44-59.2600N,152-29-38.2000W,AIRPORT,Y-L
FBK,064-50-15.4000N,147-36-52.1700W,AIRPORT,Y
MLY,064-59-16.6000N,150-38-51.3000W,AIRPORT,Y-L
MCG,062-57-10.0200N,155-36-25.3700W,AIRPORT,Y-L
CDV,060-29-29.9000N,145-28-39.2100W,AIRPORT,Y-L
MRI,061-12-48.7700N,149-50-40.9500W,AIRPORT,Y-L
ENN,064-32-50.2800N,149-04-26.1300W,AIRPORT,Y-L
OME,064-30-45.2000N,165-26-39.8000W,AIRPORT,Y
NUL,064-43-45.6000N,158-04-27.2000W,AIRPORT,Y-L
PSG,056-48-05.3000N,132-56-46.4000W,AIRPORT,Y-L
TAL,065-10-27.8000N,152-06-29.2000W,AIRPORT,Y-L
SDP,055-18-49.3000N,160-31-17.1300W,AIRPORT,Y-L
SIT,057-02-48.6000N,135-21-39.8500W,AIRPORT,Y-L
SXQ,060-28-30.5000N,151-02-22.7000W,AIRPORT,Y-L
PBV,056-34-38.5000N,169-39-49.4000W,AIRPORT,Y-L
SNP,057-09-58.7000N,170-13-21.2000W,AIRPORT,Y
ANC,061-10-26.7000N,149-59-53.3000W,AIRPORT,Y-L
6K8,063-19-46.2500N,142-57-13.2600W,AIRPORT,Y-L
UBW,070-19-50.4000N,149-35-53.0000W,AIRPORT,Y-L
DUT,053-53-56.2000N,166-32-42.1000W,AIRPORT,Y-L
VDZ,061-08-03.2000N,146-14-41.1700W,AIRPORT,Y-L
PAQ,061-35-41.7000N,149-05-19.4000W,AIRPORT,Y
BRW,071-17-05.5000N,156-46-06.9000W,AIRPORT,Y-L
WRG,056-29-03.6000N,132-22-11.4000W,AIRPORT,Y-L
YAK,059-30-11.9600N,139-39-36.9700W,AIRPORT,Y-L
BHM,033-33-50.0000N,086-45-08.3000W,AIRPORT,Y-L
DHN,031-19-15.7000N,085-26-58.1000W,AIRPORT,Y-L
EDN,031-17-59.0000N,085-53-59.4000W,AIRPORT,Y-L
BFM,030-37-36.4100N,088-04-05.1300W,AIRPORT,Y-L
EET,033-10-40.0000N,086-46-59.6000W,AIRPORT,Y-L
LIT,034-43-45.9900N,092-13-29.2000W,AIRPORT,Y-L
FYV,036-00-18.3000N,094-10-12.2000W,AIRPORT,Y-L
FSM,035-20-11.7100N,094-22-02.8000W,AIRPORT,Y-L
JBR,035-49-54.1600N,090-38-47.1200W,AIRPORT,Y-L
HOT,034-28-40.9000N,093-05-46.4000W,AIRPORT,Y-L
SGT,034-35-58.1200N,091-34-30.0000W,AIRPORT,Y
TXK,033-27-13.4000N,093-59-27.7000W,AIRPORT,Y-L
P20,034-08-59.4000N,114-16-04.2000W,AIRPORT,Y-L
P52,034-43-48.2000N,112-02-06.4900W,AIRPORT,Y-L
DMA,032-09-58.9100N,110-52-59.4100W,AIRPORT,Y
FFZ,033-27-39.0300N,111-43-41.9700W,AIRPORT,Y-L
FLG,035-08-25.1400N,111-40-09.2700W,AIRPORT,Y-L
GEU,033-31-36.9000N,112-17-42.5000W,AIRPORT,Y-L
88AZ,033-38-27.2700N,111-03-24.9000W,AIRPORT,Y
IGM,035-15-34.1200N,113-56-16.9800W,AIRPORT,Y-L
HII,034-34-16.0500N,114-21-29.8000W,AIRPORT,Y-L
IFP,035-09-16.6100N,114-33-33.6000W,AIRPORT,Y-L
AVQ,032-24-34.4000N,111-13-06.2000W,AIRPORT,Y-L
OLS,031-25-03.8000N,110-50-52.4000W,AIRPORT,Y-L
PGA,036-55-33.8500N,111-26-54.0600W,AIRPORT,Y-L
PAN,034-15-24.6100N,111-20-21.3200W,AIRPORT,Y-L
DVT,033-41-17.9000N,112-04-57.2000W,AIRPORT,Y-L
GYR,033-25-23.8000N,112-22-31.3000W,AIRPORT,Y-L
IWA,033-18-28.1700N,111-39-19.6500W,AIRPORT,Y
PHX,033-26-03.4000N,112-00-41.7000W,AIRPORT,Y-L
MZJ,032-30-35.4000N,111-19-31.2000W,AIRPORT,Y-L
PRC,034-39-17.4000N,112-25-09.2000W,AIRPORT,Y-L
RYN,032-08-31.9600N,111-10-28.4900W,AIRPORT,Y-L
SAD,032-51-12.0300N,109-38-06.2900W,AIRPORT,Y-L
P13,033-21-11.3000N,110-40-02.5000W,AIRPORT,Y-L
SDL,033-37-22.4000N,111-54-37.9000W,AIRPORT,Y-L
SEZ,034-50-54.9200N,111-47-18.4100W,AIRPORT,Y-L
FHU,031-35-18.5000N,110-20-39.8000W,AIRPORT,Y-L
JTC,034-07-45.9000N,109-18-39.1000W,AIRPORT,Y-L
TUS,032-06-57.8500N,110-56-27.6500W,AIRPORT,Y-L
E25,033-58-14.2700N,112-47-42.3200W,AIRPORT,Y-L
INW,035-01-18.8700N,110-43-21.0600W,AIRPORT,Y-L
NYL,032-39-23.6700N,114-36-21.5500W,AIRPORT,Y-L
APV,034-34-31.2000N,117-11-10.3000W,AIRPORT,Y-L
AUN,038-57-17.4000N,121-04-54.2000W,AIRPORT,Y-L
DAG,034-51-13.4000N,116-47-12.1000W,AIRPORT,Y-L
L35,034-15-49.6000N,116-51-21.7000W,AIRPORT,Y-L
BUR,034-12-02.5000N,118-21-31.2000W,AIRPORT,Y-L
C83,037-49-42.4000N,121-37-33.0000W,AIRPORT,
ACV,040-58-40.1800N,124-06-30.4900W,AIRPORT,Y-L
CMA,034-12-49.5300N,119-05-39.6800W,AIRPORT,Y-L
MER,037-22-49.7400N,120-34-05.4700W,AIRPORT,Y-L
STS,038-30-34.9000N,122-48-46.4000W,AIRPORT,Y-L
CIC,039-47-43.4000N,121-51-30.3000W,AIRPORT,Y-L
CNO,033-58-29.2100N,117-38-11.3400W,AIRPORT,Y-L
O22,038-01-49.5000N,120-24-52.4000W,AIRPORT,Y-L
FAT,036-46-35.6000N,119-43-07.8000W,AIRPORT,Y-L
FUL,033-52-19.2500N,117-58-47.2200W,AIRPORT,Y-L
WJF,034-44-27.8000N,118-13-07.1000W,AIRPORT,Y-L
HAF,037-30-48.4000N,122-30-04.2000W,AIRPORT,Y-L
HMT,033-44-02.5000N,117-01-20.3000W,AIRPORT,Y-L
CEC,041-46-48.6000N,124-14-11.5000W,AIRPORT,Y-L
TRM,033-37-36.0100N,116-09-34.7600W,AIRPORT,Y-L
SNA,033-40-32.3800N,117-52-05.6400W,AIRPORT,Y-L
TVL,038-53-38.0000N,119-59-43.2000W,AIRPORT,Y-L
NLC,036-19-59.2600N,119-57-07.7800W,AIRPORT,
LHM,038-54-33.0000N,121-21-04.8000W,AIRPORT,Y-L
LVK,037-41-36.2000N,121-49-13.3000W,AIRPORT,Y-L
LGB,033-49-04.5500N,118-09-06.8100W,AIRPORT,Y-L
SLI,033-47-24.1100N,118-03-05.1100W,AIRPORT,
LAX,033-56-32.9900N,118-24-28.9700W,AIRPORT,Y-L
RIV,033-52-55.0000N,117-15-32.4600W,AIRPORT,
MCC,038-40-03.5000N,121-24-02.2000W,AIRPORT,Y
CRQ,033-07-41.7000N,117-16-48.3000W,AIRPORT,N
BFL,035-26-01.9000N,119-03-27.6000W,AIRPORT,Y-L
MCE,037-17-05.1000N,120-30-50.1000W,AIRPORT,Y-L
OAK,037-43-16.5400N,122-13-16.1400W,AIRPORT,Y-L
MOD,037-37-32.9700N,120-57-15.9500W,AIRPORT,Y-L
NUQ,037-24-58.1200N,122-02-56.8700W,AIRPORT,Y-L
MRY,036-35-13.0300N,121-50-34.0200W,AIRPORT,Y-L
APC,038-12-47.4800N,122-16-50.4700W,AIRPORT,Y-L
EED,034-45-58.8500N,114-37-23.8100W,AIRPORT,Y-L
SJC,037-21-46.7800N,121-55-43.0300W,AIRPORT,Y-L
ONT,034-03-21.6500N,117-36-04.2800W,AIRPORT,Y-L
OXR,034-12-02.9000N,119-12-26.0200W,AIRPORT,Y-L
PMD,034-37-45.8000N,118-05-04.3900W,AIRPORT,Y
PSP,033-49-46.8000N,116-30-24.1000W,AIRPORT,Y-L
PRB,035-40-22.4000N,120-37-37.5000W,AIRPORT,Y-L
PVF,038-43-27.2200N,120-45-11.9100W,AIRPORT,Y-L
PTV,036-01-46.5000N,119-03-45.8000W,AIRPORT,Y-L
RBL,040-09-01.1000N,122-15-07.9000W,AIRPORT,Y-L
RDD,040-30-32.3000N,122-17-36.2000W,AIRPORT,Y-L
O32,036-40-15.6000N,119-27-03.7000W,AIRPORT,Y-L
FOT,040-33-14.1900N,124-07-57.5600W,AIRPORT,Y-L
SAC,038-30-46.3000N,121-29-35.8800W,AIRPORT,Y-L
SMF,038-41-43.6000N,121-35-26.8000W,AIRPORT,Y-L
MHR,038-33-19.1200N,121-17-49.9600W,AIRPORT,Y-L
SNS,036-39-46.0300N,121-36-22.9200W,AIRPORT,Y-L
SBD,034-05-43.3000N,117-14-05.6000W,AIRPORT,Y-L
SAN,032-44-00.8300N,117-11-22.7900W,AIRPORT,Y-L
SFO,037-37-07.7000N,122-22-31.5000W,AIRPORT,Y-L
EMT,034-05-09.6300N,118-02-05.4400W,AIRPORT,Y-L
SBP,035-14-14.2000N,120-38-33.4000W,AIRPORT,Y-L
SBA,034-25-34.2900N,119-50-29.3700W,AIRPORT,Y-L
SMX,034-53-59.8000N,120-27-29.1000W,AIRPORT,Y-L
MIT,035-30-26.9200N,119-11-31.6700W,AIRPORT,Y-L
SIY,041-46-53.2000N,122-28-05.2000W,AIRPORT,Y-L
SCK,037-53-39.8800N,121-14-19.4600W,AIRPORT,Y-L
TRK,039-19-12.2000N,120-08-22.5000W,AIRPORT,Y-L
UKI,039-07-33.4000N,123-12-03.1000W,AIRPORT,Y-L
VNY,034-12-35.3000N,118-29-23.9000W,AIRPORT,Y-L
WVI,036-56-08.6400N,121-47-22.7000W,AIRPORT,Y-L
WHP,034-15-33.5700N,118-24-48.3600W,AIRPORT,Y-L
TOA,033-48-12.1800N,118-20-22.5900W,AIRPORT,Y-L
ASE,039-13-18.8000N,106-52-05.6000W,AIRPORT,Y-L
APA,039-34-12.4300N,104-50-57.4600W,AIRPORT,Y-L
COS,038-48-20.9400N,104-42-02.8000W,AIRPORT,Y
CEZ,037-18-10.8100N,108-37-40.9600W,AIRPORT,Y-L
DRO,037-09-05.5000N,107-45-13.6000W,AIRPORT,Y-L
EGE,039-38-33.9000N,106-54-57.4000W,AIRPORT,Y-L
FMM,040-20-07.6000N,103-48-15.0000W,AIRPORT,Y-L
1V6,038-25-42.8200N,105-06-24.6800W,AIRPORT,Y-L
GNB,040-05-24.2000N,105-54-59.9000W,AIRPORT,Y-L
GJT,039-07-20.7000N,108-31-36.3000W,AIRPORT,Y-L
MVI,037-31-43.4100N,106-02-45.2300W,AIRPORT,Y-L
MTJ,038-30-35.3000N,107-53-39.3000W,AIRPORT,Y-L
FNL,040-27-06.5400N,105-00-40.7700W,AIRPORT,Y-L
PUB,038-17-23.8100N,104-29-52.9000W,AIRPORT,Y
RIL,039-31-35.7800N,107-43-40.7500W,AIRPORT,Y-L
BJC,039-54-31.7000N,105-07-01.9000W,AIRPORT,Y-L
ALS,037-26-06.4500N,105-52-04.3500W,AIRPORT,Y-L
SBS,040-30-58.5400N,106-51-58.6900W,AIRPORT,Y-L
HDN,040-28-52.3000N,107-13-03.6000W,AIRPORT,Y-L
BDL,041-56-20.5200N,072-41-03.5400W,AIRPORT,Y-L
BDR,041-09-48.5300N,073-07-34.2300W,AIRPORT,Y-L
GON,041-19-48.2000N,072-02-42.5000W,AIRPORT,Y-L
HEF,038-43-15.6800N,077-30-54.3600W,AIRPORT,Y-L
IAD,038-56-50.8000N,077-27-35.8000W,AIRPORT,Y-L
X21,028-37-21.1900N,080-50-07.4700W,AIRPORT,Y-L
BOW,027-56-36.1000N,081-47-00.3000W,AIRPORT,Y-L
CEW,030-46-43.7900N,086-31-19.6100W,AIRPORT,Y-L
BCT,026-22-42.5500N,080-06-27.7100W,AIRPORT,Y-L
BKV,028-28-25.0000N,082-27-19.5000W,AIRPORT,Y-L
VQQ,030-13-07.6000N,081-52-37.8000W,AIRPORT,Y-L
CLW,027-58-37.9700N,082-45-32.6000W,AIRPORT,Y-L
ORL,028-32-43.6600N,081-19-58.5500W,AIRPORT,Y-L
FXE,026-11-50.2100N,080-10-14.5400W,AIRPORT,Y-L
FLL,026-04-18.0000N,080-08-58.9000W,AIRPORT,Y
CRG,030-20-10.8000N,081-30-52.0000W,AIRPORT,Y-L
JAX,030-29-38.5600N,081-41-16.2500W,AIRPORT,Y-L
EYW,024-33-22.0300N,081-45-35.8400W,AIRPORT,Y-L
ISM,028-17-23.3000N,081-26-13.4900W,AIRPORT,Y-L
LCQ,030-10-55.4000N,082-34-36.7000W,AIRPORT,Y-L
LAL,027-59-15.5000N,082-01-08.4000W,AIRPORT,Y
MKY,025-59-42.1000N,081-40-21.1000W,AIRPORT,Y-L
MLB,028-06-09.9000N,080-38-42.9000W,AIRPORT,Y-L
MIA,025-47-43.3000N,080-17-24.4200W,AIRPORT,Y-L
APF,026-09-08.7900N,081-46-32.3000W,AIRPORT,Y-L
EVB,029-03-20.5000N,080-56-56.1000W,AIRPORT,Y-L
ECP,030-21-29.6700N,085-47-44.1700W,AIRPORT,Y-L
OCF,029-10-18.7600N,082-13-26.8100W,AIRPORT,Y-L
MCO,028-25-45.8000N,081-18-32.4000W,AIRPORT,Y-L
2R4,030-38-15.4300N,086-59-37.1500W,AIRPORT,Y-L
SRQ,027-23-43.6000N,082-33-15.8000W,AIRPORT,Y-L
RSW,026-32-10.1900N,081-45-18.5600W,AIRPORT,Y-L
TIX,028-30-53.3000N,080-47-57.2000W,AIRPORT,Y-L
TLH,030-23-48.3200N,084-21-03.1300W,AIRPORT,Y-L
FPR,027-29-50.9000N,080-22-21.5000W,AIRPORT,Y-L
VNC,027-04-16.5600N,082-26-24.1200W,AIRPORT,Y-L
X60,029-21-16.5800N,082-28-14.0300W,AIRPORT,Y-L
SUA,027-10-54.1200N,080-13-16.6600W,AIRPORT,Y-L
AHN,033-56-55.1100N,083-19-33.2900W,AIRPORT,Y
FFC,033-21-27.8000N,084-34-21.1000W,AIRPORT,Y-L
HMP,033-23-23.6500N,084-19-51.7300W,AIRPORT,Y-L
AGS,033-22-11.8000N,081-57-52.2000W,AIRPORT,Y
WDR,033-58-57.6800N,083-40-01.9800W,AIRPORT,Y-L
CNI,034-18-43.9900N,084-25-19.7500W,AIRPORT,Y-L
RYY,034-00-47.4000N,084-35-49.3000W,AIRPORT,Y-L
48A,032-24-02.3700N,083-16-42.2600W,AIRPORT,Y-L
DNL,033-27-59.7000N,082-02-21.8000W,AIRPORT,Y-L
PDK,033-52-33.6100N,084-18-07.3100W,AIRPORT,Y-L
18A,034-20-25.3000N,083-07-50.9000W,AIRPORT,Y-L
LZU,033-58-41.1300N,083-57-44.5100W,AIRPORT,Y-L
AZE,031-53-06.6800N,082-38-52.4100W,AIRPORT,Y-L
09J,031-04-28.1000N,081-25-40.0000W,AIRPORT,Y-L
JZP,034-27-12.5000N,084-27-26.0000W,AIRPORT,Y-L
SAV,032-07-39.3000N,081-12-07.7000W,AIRPORT,Y-L
OPN,032-57-18.0100N,084-15-50.7100W,AIRPORT,Y-L
VDI,032-11-33.8000N,082-22-16.2000W,AIRPORT,Y-L
CTJ,033-37-54.1100N,085-09-08.1500W,AIRPORT,Y-L
HNL,021-19-04.1400N,157-55-12.8200W,AIRPORT,Y-L
ITO,019-43-12.9500N,155-02-54.4900W,AIRPORT,Y-L
OGG,020-53-55.1300N,156-25-49.6500W,AIRPORT,Y
DBQ,042-24-07.2000N,090-42-34.1000W,AIRPORT,Y-L
BOI,043-33-51.7000N,116-13-22.3000W,AIRPORT,Y-L
65S,048-43-33.5000N,116-17-42.6000W,AIRPORT,Y-L
LLJ,044-31-24.9800N,114-13-04.5800W,AIRPORT,Y-L
COE,047-46-27.5000N,116-49-10.5000W,AIRPORT,Y-L
SUN,043-30-13.6100N,114-17-44.0100W,AIRPORT,Y-L
GIC,045-56-33.6000N,116-07-22.9000W,AIRPORT,Y-L
IDA,043-30-49.2200N,112-04-14.9500W,AIRPORT,Y-L
JER,042-43-36.0600N,114-27-23.9300W,AIRPORT,Y-L
TWF,042-28-54.5100N,114-29-15.8500W,AIRPORT,Y-L
SMN,045-07-23.8000N,113-52-53.2000W,AIRPORT,Y-L
LWS,046-22-28.1900N,117-00-55.4300W,AIRPORT,Y-L
MYL,044-53-19.4800N,116-06-06.3100W,AIRPORT,Y-L
MAN,043-34-52.8300N,116-31-23.0300W,AIRPORT,Y-L
PIH,042-54-35.2500N,112-35-45.3100W,AIRPORT,Y-L
U10,042-06-24.9700N,111-54-45.2500W,AIRPORT,Y-L
SZT,048-17-58.3000N,116-33-36.5000W,AIRPORT,Y-L
SPI,039-50-40.6100N,089-40-39.1700W,AIRPORT,Y-L
RFD,042-11-43.3000N,089-05-50.0000W,AIRPORT,Y-L
DPA,041-54-25.3900N,088-14-52.7800W,AIRPORT,Y-L
PIA,040-39-51.1000N,089-41-35.7000W,AIRPORT,Y-L
MLI,041-26-53.5500N,090-30-27.9700W,AIRPORT,Y-L
CPS,038-34-13.3000N,090-09-18.3000W,AIRPORT,Y-L
UGN,042-25-19.7300N,087-52-04.5000W,AIRPORT,Y-L
BAK,039-15-42.8900N,085-53-46.8200W,AIRPORT,Y-L
EVV,038-02-26.9000N,087-31-42.6000W,AIRPORT,Y-L
GYY,041-37-02.1000N,087-24-52.3000W,AIRPORT,Y-L
IND,039-43-02.3000N,086-17-40.7000W,AIRPORT,Y-L
HFY,039-37-39.4000N,086-05-16.9000W,AIRPORT,Y-L
LAF,040-24-44.3000N,086-56-12.8000W,AIRPORT,Y-L
RID,039-45-21.9000N,084-50-33.7000W,AIRPORT,Y-L
AAO,037-44-51.2700N,097-13-16.0200W,AIRPORT,Y-L
GCK,037-55-39.1000N,100-43-27.9000W,AIRPORT,Y-L
HUT,038-03-58.1600N,097-51-37.7600W,AIRPORT,Y-L
LBL,037-02-38.1200N,100-57-35.8900W,AIRPORT,Y-L
IAB,037-37-23.2200N,097-16-03.4700W,AIRPORT,Y
EWK,038-03-25.5700N,097-16-30.8200W,AIRPORT,Y-L
TOP,039-04-07.7600N,095-37-20.5500W,AIRPORT,Y-L
ICT,037-38-59.8300N,097-25-58.9500W,AIRPORT,Y-L
PAH,037-03-37.0400N,088-46-22.6500W,AIRPORT,Y-L
SJS,037-45-03.6700N,082-38-12.0700W,AIRPORT,Y-L
BWG,036-57-52.3000N,086-25-10.8000W,AIRPORT,Y-L
FFT,038-10-54.2300N,084-54-24.3000W,AIRPORT,Y
GLW,037-01-54.4000N,085-57-13.5200W,AIRPORT,Y-L
LOZ,037-05-12.8000N,084-04-38.6000W,AIRPORT,Y
2I0,037-21-21.3400N,087-23-53.5900W,AIRPORT,Y-L
M25,036-46-10.7000N,088-35-04.8000W,AIRPORT,Y-L
IOB,038-03-29.3000N,083-58-46.5000W,AIRPORT,Y-L
EKQ,036-51-19.0000N,084-51-22.1000W,AIRPORT,Y-L
HUM,029-33-59.4100N,090-39-37.5400W,AIRPORT,Y-L
LFT,030-12-18.1000N,091-59-15.9000W,AIRPORT,Y-L
NEW,030-02-32.7000N,090-01-41.7000W,AIRPORT,Y-L
MLU,032-30-38.0000N,092-02-10.0800W,AIRPORT,Y-L
SHV,032-26-47.4600N,093-49-33.7400W,AIRPORT,Y-L
TVR,032-21-05.8000N,091-01-39.6800W,AIRPORT,Y-L
AQW,042-41-46.5100N,073-10-13.9900W,AIRPORT,Y-L
OWD,042-11-25.9000N,071-10-22.6000W,AIRPORT,Y-L
BWI,039-10-32.6200N,076-40-08.3700W,AIRPORT,Y-L
FDK,039-25-01.2800N,077-22-29.0400W,AIRPORT,Y-L
BGR,044-48-26.8000N,068-49-41.3000W,AIRPORT,Y-L
RKD,044-03-36.5100N,069-05-58.8100W,AIRPORT,Y-L
SFM,043-23-37.7000N,070-42-28.8000W,AIRPORT,Y-L
LAN,042-46-43.1000N,084-35-10.3000W,AIRPORT,Y-L
TVC,044-44-29.6800N,085-34-54.7300W,AIRPORT,Y-L
GLR,045-00-46.9000N,084-42-12.4000W,AIRPORT,Y-L
OZW,042-37-45.9400N,083-58-55.9000W,AIRPORT,Y-L
OSC,044-27-05.5000N,083-23-39.0000W,AIRPORT,Y-L
PLN,045-34-15.3000N,084-47-48.2000W,AIRPORT,Y-L
SAW,046-20-56.9700N,087-23-46.9400W,AIRPORT,Y-L
LWA,042-21-04.7800N,086-15-20.6600W,AIRPORT,Y-L
