Dep_Airport_ID,ARP_Latitude,ARP_Longitude,Facility_Type,Wind_Indicator
AIT,046-32-54.4600N,093-40-35.8800W,AIRPORT,Y-L
ANE,045-08-41.6000N,093-12-36.7000W,AIRPORT,Y-L
AUM,043-39-45.5000N,092-55-58.5000W,AIRPORT,Y-L
BJI,047-30-38.6000N,094-56-05.0000W,AIRPORT,Y-L
BRD,046-24-15.2000N,094-08-01.7000W,AIRPORT,Y-L
COQ,046-42-04.0000N,092-30-12.8000W,AIRPORT,Y-L
DLH,046-50-31.4500N,092-11-35.6500W,AIRPORT,Y
ELO,047-49-26.4500N,091-49-45.5500W,AIRPORT,Y-L
INL,048-33-56.1200N,093-24-07.8500W,AIRPORT,Y
FCM,044-49-39.0300N,093-27-30.8600W,AIRPORT,Y-L
GPZ,047-12-33.4200N,093-30-35.8000W,AIRPORT,Y-L
MKT,044-13-22.0000N,093-55-09.5000W,AIRPORT,Y-L
MSP,044-52-55.1000N,093-13-18.4000W,AIRPORT,Y-L
HIB,047-23-11.6700N,092-50-20.3200W,AIRPORT,Y-L
TWM,047-02-56.9000N,091-44-42.8000W,AIRPORT,Y-L
RST,043-54-29.8000N,092-30-00.1000W,AIRPORT,Y-L
SGS,044-51-25.7000N,093-01-58.3000W,AIRPORT,Y-L
STP,044-56-04.6400N,093-03-37.2300W,AIRPORT,Y-L
RRT,048-56-29.3000N,095-20-54.5000W,AIRPORT,Y-L
M17,037-35-45.9800N,093-20-51.7100W,AIRPORT,Y-L
BBG,036-31-55.5000N,093-12-01.9600W,AIRPORT,Y
CGI,037-13-31.1000N,089-34-14.7000W,AIRPORT,Y-L
MKC,039-07-22.6000N,094-35-34.2000W,AIRPORT,Y-L
TKX,036-13-33.1000N,090-02-11.9100W,AIRPORT,Y-L
IRK,040-05-36.5000N,092-32-41.7000W,AIRPORT,Y-L
AIZ,038-05-45.7000N,092-32-58.1000W,AIRPORT,Y-L
MBY,039-27-47.4100N,092-25-33.2000W,AIRPORT,Y-L
VIH,038-07-38.7500N,091-46-10.2500W,AIRPORT,Y-L
SIK,036-53-56.0000N,089-33-42.3000W,AIRPORT,Y-L
SGF,037-14-44.4000N,093-23-19.1000W,AIRPORT,Y-L
GTR,033-26-53.8000N,088-35-29.0000W,AIRPORT,Y-L
HEZ,031-36-49.1800N,091-17-50.4100W,AIRPORT,Y-L
JAN,032-18-40.2000N,090-04-33.2000W,AIRPORT,Y-L
MEI,032-19-57.4000N,088-45-06.7000W,AIRPORT,Y-L
HSA,030-22-04.1000N,089-27-16.6100W,AIRPORT,Y-L
UOX,034-23-03.6000N,089-32-12.5000W,AIRPORT,Y-L
VKS,032-14-20.9000N,090-55-41.5000W,AIRPORT,Y-L
BHK,046-20-47.8000N,104-15-29.2000W,AIRPORT,Y-L
BTM,045-57-17.3000N,112-29-50.9000W,AIRPORT,Y-L
6S0,045-48-23.3200N,109-58-41.7200W,AIRPORT,Y-L
BIL,045-48-28.2600N,108-32-36.7600W,AIRPORT,Y-L
BZN,045-46-38.0500N,111-09-00.9400W,AIRPORT,Y-L
CTB,048-36-30.0800N,112-22-34.1400W,AIRPORT,Y-L
38S,046-23-16.2000N,112-45-53.8000W,AIRPORT,Y-L
DLN,045-15-19.3000N,112-33-09.0000W,AIRPORT,Y-L
MLS,046-25-36.7900N,105-53-17.6100W,AIRPORT,Y-L
GPI,048-18-37.8000N,114-15-21.6000W,AIRPORT,Y-L
GTF,047-28-56.2800N,111-22-13.0100W,AIRPORT,Y
HLN,046-36-24.2000N,111-58-59.8000W,AIRPORT,Y-L
LWT,047-02-57.3000N,109-28-00.1000W,AIRPORT,Y-L
LTY,048-30-38.6000N,110-59-27.1100W,AIRPORT,Y-L
MSO,046-54-58.7000N,114-05-26.0000W,AIRPORT,Y-L
8S1,047-41-43.6000N,114-11-07.0000W,AIRPORT,Y-L
HRF,046-15-25.8000N,114-07-25.8400W,AIRPORT,Y-L
7S0,047-34-01.8000N,114-06-03.9000W,AIRPORT,Y-L
RVF,045-32-07.5000N,112-18-08.2000W,AIRPORT,Y-L
SDY,047-42-24.7000N,104-11-33.2000W,AIRPORT,Y-L
8S0,048-36-03.6000N,113-06-55.1000W,AIRPORT,Y
32S,046-31-30.4000N,114-03-10.1000W,AIRPORT,Y-L
6S3,045-37-49.8900N,109-14-21.1700W,AIRPORT,Y
WYS,044-41-18.2000N,111-07-03.5000W,AIRPORT,Y-L
AVL,035-26-10.0100N,082-32-31.3700W,AIRPORT,Y-L
EQY,035-01-02.7000N,080-37-19.4000W,AIRPORT,Y-L
JQF,035-23-15.9700N,080-42-32.8800W,AIRPORT,Y-L
MQI,035-55-08.3400N,075-41-43.9300W,AIRPORT,Y-L
14A,035-36-49.9300N,080-53-57.9500W,AIRPORT,Y
SOP,035-14-14.7200N,079-23-20.5200W,AIRPORT,Y-L
GSO,036-06-04.7800N,079-56-28.0400W,AIRPORT,Y-L
SVH,035-45-54.0000N,080-57-14.0000W,AIRPORT,Y-L
BIS,046-46-21.8400N,100-44-44.6600W,AIRPORT,Y-L
DIK,046-48-01.7000N,102-48-15.9700W,AIRPORT,Y-L
FAR,046-55-14.3000N,096-48-56.7000W,AIRPORT,Y-L
JMS,046-55-47.0000N,098-40-41.5000W,AIRPORT,Y-L
S25,047-47-34.8000N,103-14-57.6700W,AIRPORT,Y-L
XWA,048-15-35.2200N,103-45-02.0000W,AIRPORT,Y-L
OMA,041-18-11.4000N,095-53-38.6000W,AIRPORT,Y-L
FET,041-26-59.8000N,096-31-16.3000W,AIRPORT,Y-L
EAR,040-43-37.3500N,099-00-24.3700W,AIRPORT,Y-L
LNK,040-51-03.2100N,096-45-32.8400W,AIRPORT,Y-L
LBF,041-07-34.3700N,100-41-01.1500W,AIRPORT,Y-L
SNY,041-05-59.1400N,102-59-05.9800W,AIRPORT,Y
BFF,041-52-26.5000N,103-35-44.3000W,AIRPORT,Y-L
EEN,042-53-54.2000N,072-16-14.8000W,AIRPORT,Y-L
ACY,039-27-27.3000N,074-34-37.8000W,AIRPORT,Y-L
WWD,039-00-30.1300N,074-54-30.6300W,AIRPORT,Y-L
MMU,040-47-57.6200N,074-24-53.6000W,AIRPORT,Y-L
ALM,032-50-21.9000N,105-59-28.1000W,AIRPORT,Y-L
ABQ,035-02-20.1500N,106-36-29.7400W,AIRPORT,Y-L
BRG,034-38-45.1000N,106-50-10.8200W,AIRPORT,Y-L
CVN,034-25-35.7200N,103-04-39.2900W,AIRPORT,Y-L
DMN,032-15-44.6000N,107-43-08.4000W,AIRPORT,Y-L
AEG,035-08-41.6700N,106-47-42.6300W,AIRPORT,Y-L
FMN,036-44-28.5000N,108-13-47.7900W,AIRPORT,Y-L
SVC,032-38-11.5700N,108-09-22.9900W,AIRPORT,Y-L
LVS,035-39-15.2000N,105-08-32.6000W,AIRPORT,Y-L
ROW,033-17-59.5300N,104-31-45.8300W,AIRPORT,Y-L
SAF,035-37-01.6000N,106-05-21.9000W,AIRPORT,Y-L
SKX,036-27-06.1000N,105-40-23.1000W,AIRPORT,Y-L
BAM,040-35-56.6000N,116-52-27.6000W,AIRPORT,Y-L
BVU,035-56-50.3100N,114-51-39.9000W,AIRPORT,Y-L
CXP,039-11-32.3000N,119-43-57.2500W,AIRPORT,Y-L
INS,036-35-10.8400N,115-40-38.5300W,AIRPORT,Y
LOL,040-03-59.2800N,118-33-54.3100W,AIRPORT,Y
EKO,040-49-30.0000N,115-47-28.8000W,AIRPORT,Y-L
ELY,039-17-58.8800N,114-50-30.7600W,AIRPORT,Y-L
LAS,036-04-48.1600N,115-09-08.0400W,AIRPORT,Y-L
HND,035-58-22.2800N,115-08-03.7800W,AIRPORT,Y-L
MEV,039-00-01.8000N,119-45-04.0000W,AIRPORT,Y-L
VGT,036-12-38.5300N,115-11-40.0000W,AIRPORT,Y-L
RTS,039-40-05.4400N,119-52-35.1800W,AIRPORT,Y-L
RNO,039-29-56.8000N,119-46-05.2000W,AIRPORT,Y-L
POU,041-37-35.7100N,073-53-03.0800W,AIRPORT,Y-L
ITH,042-29-28.9000N,076-27-31.4000W,AIRPORT,Y-L
PEO,042-38-13.5000N,077-03-10.3000W,AIRPORT,Y
LUK,039-06-12.0000N,084-25-07.0000W,AIRPORT,Y-L
DFI,041-20-15.0000N,084-25-43.7000W,AIRPORT,Y-L
TOL,041-35-12.5400N,083-48-28.1800W,AIRPORT,Y-L
UNI,039-12-42.8100N,082-13-45.3200W,AIRPORT,Y-L
ADH,034-48-15.3400N,096-40-16.3200W,AIRPORT,Y-L
ADM,034-18-13.9400N,097-01-14.1500W,AIRPORT,Y
BVO,036-45-48.1000N,096-00-40.3000W,AIRPORT,Y-L
RCE,035-29-17.1000N,097-49-24.8000W,AIRPORT,Y-L
6K4,036-17-28.3000N,098-28-32.9000W,AIRPORT,Y-L
PNC,036-43-55.0400N,097-05-59.2200W,AIRPORT,Y-L
TUL,036-11-54.2200N,095-53-17.1800W,AIRPORT,Y-L
OKC,035-23-35.0700N,097-36-02.7400W,AIRPORT,Y-L
AST,046-09-28.7000N,123-52-43.0000W,AIRPORT,Y-L
UAO,045-14-49.7000N,122-46-12.2000W,AIRPORT,Y-L
BKE,044-50-14.4000N,117-48-32.9000W,AIRPORT,Y-L
BDN,044-05-40.4200N,121-12-00.8000W,AIRPORT,Y-L
BNO,043-35-30.8600N,118-57-19.5700W,AIRPORT,Y-L
DLS,045-37-09.6800N,121-10-05.7900W,AIRPORT,Y-L
CVO,044-29-48.7500N,123-17-22.0500W,AIRPORT,Y-L
LMT,042-09-22.1200N,121-43-59.5400W,AIRPORT,Y-L
PDT,045-41-42.3400N,118-50-36.1300W,AIRPORT,Y-L
GCD,044-24-10.7400N,118-58-03.7900W,AIRPORT,Y-L
77S,043-55-50.7000N,123-00-24.0000W,AIRPORT,Y-L
4S2,045-40-22.0000N,121-32-01.9100W,AIRPORT,Y
LGD,045-17-20.6800N,118-00-22.0500W,AIRPORT,Y-L
LKV,042-09-40.0000N,120-23-56.7000W,AIRPORT,Y-L
S33,044-40-12.5900N,121-09-18.5400W,AIRPORT,Y-L
EUG,044-07-28.5000N,123-12-43.1000W,AIRPORT,Y-L
MMV,045-11-40.4000N,123-08-09.8000W,AIRPORT,Y-L
SLE,044-54-34.3000N,123-00-09.0000W,AIRPORT,Y-L
ONP,044-34-49.3000N,124-03-28.5000W,AIRPORT,Y-L
ONO,044-01-09.7000N,117-00-46.9000W,AIRPORT,Y-L
22S,042-43-04.7000N,120-33-46.0000W,AIRPORT,Y
HIO,045-32-31.6400N,122-57-02.6000W,AIRPORT,Y-L
PDX,045-35-19.3500N,122-35-48.7300W,AIRPORT,Y-L
S39,044-17-16.2800N,120-54-19.7900W,AIRPORT,Y-L
RDM,044-15-14.6500N,121-08-59.9000W,AIRPORT,Y
MFR,042-22-29.8700N,122-52-23.8400W,AIRPORT,Y-L
REO,042-34-39.5800N,117-53-07.5500W,AIRPORT,Y
RBG,043-14-21.6100N,123-21-21.0700W,AIRPORT,Y
SPB,045-46-15.7000N,122-51-42.6000W,AIRPORT,Y-L
OTH,043-25-01.0000N,124-14-49.3000W,AIRPORT,Y-L
S21,043-52-34.7300N,121-27-10.9900W,AIRPORT,Y-L
TMK,045-25-05.7000N,123-48-51.8000W,AIRPORT,Y-L
AGC,040-21-15.9800N,079-55-44.5700W,AIRPORT,Y-L
CXY,040-13-01.7000N,076-51-04.9000W,AIRPORT,Y-L
PNE,040-04-54.9800N,075-00-38.0800W,AIRPORT,Y-L
PHL,039-52-19.5000N,075-14-26.3900W,AIRPORT,Y-L
UNV,040-51-00.0000N,077-50-51.3000W,AIRPORT,Y-L
AIK,033-38-57.8000N,081-41-06.1000W,AIRPORT,Y
CHS,032-53-55.1000N,080-02-25.9000W,AIRPORT,Y
JZI,032-42-03.7000N,080-00-11.7000W,AIRPORT,Y-L
GYH,034-45-29.9300N,082-22-35.0900W,AIRPORT,Y-L
GMU,034-50-52.6000N,082-21-00.0000W,AIRPORT,Y-L
HXD,032-13-28.1800N,080-41-50.6400W,AIRPORT,Y-L
CUB,033-58-13.7000N,080-59-42.9000W,AIRPORT,Y-L
ABR,045-26-48.4700N,098-25-20.7900W,AIRPORT,Y-L
SPF,044-28-51.8000N,103-47-09.6000W,AIRPORT,Y-L
YKN,042-55-00.0400N,097-23-09.3500W,AIRPORT,Y-L
HON,044-23-06.7000N,098-13-42.8000W,AIRPORT,Y-L
FSD,043-34-55.2700N,096-44-30.9300W,AIRPORT,Y-L
PIR,044-22-57.7000N,100-17-09.5000W,AIRPORT,Y-L
RAP,044-02-43.2000N,103-03-26.5000W,AIRPORT,Y-L
HZD,036-05-21.4700N,088-27-47.8800W,AIRPORT,Y-L
RZR,035-12-44.4100N,084-47-57.1200W,AIRPORT,Y-L
M02,036-07-40.6400N,087-25-47.4200W,AIRPORT,Y-L
M29,035-22-58.9200N,087-58-05.7600W,AIRPORT,Y
PHT,036-20-09.4000N,088-23-04.0000W,AIRPORT,Y-L
JWN,036-10-58.8800N,086-53-11.3800W,AIRPORT,Y-L
DKX,035-57-49.8000N,083-52-25.2000W,AIRPORT,Y-L
M54,036-11-25.4800N,086-18-56.4900W,AIRPORT,Y-L
CHA,035-02-06.7000N,085-12-12.8000W,AIRPORT,Y-L
TYS,035-48-39.9300N,083-59-38.6400W,AIRPORT,Y-L
MKL,035-35-59.5700N,088-54-56.2000W,AIRPORT,Y-L
NQA,035-21-23.9000N,089-52-13.5500W,AIRPORT,Y-L
MNV,035-32-42.8300N,084-22-49.4400W,AIRPORT,Y-L
BNA,036-07-28.1100N,086-40-41.4500W,AIRPORT,Y-L
TRI,036-28-30.7500N,082-24-26.7000W,AIRPORT,Y-L
ABI,032-24-40.8000N,099-40-54.8000W,AIRPORT,Y-L
ADS,032-58-06.8000N,096-50-11.2000W,AIRPORT,Y-L
T31,033-12-30.4200N,096-44-30.9900W,AIRPORT,Y
AUS,030-11-40.3000N,097-40-11.5500W,AIRPORT,Y-L
BMT,030-04-12.7400N,094-12-54.3500W,AIRPORT,Y-L
BEA,028-21-51.2000N,097-47-31.0000W,AIRPORT,Y-L
BPG,032-12-45.4000N,101-31-17.9000W,AIRPORT,Y-L
XBP,033-10-26.2500N,097-49-42.3400W,AIRPORT,Y-L
BKS,027-12-21.8000N,098-07-15.7000W,AIRPORT,Y-L
CDS,034-26-01.6000N,100-17-16.8000W,AIRPORT,Y-L
CXO,030-21-12.2200N,095-24-54.3000W,AIRPORT,Y-L
CRP,027-46-19.9000N,097-30-08.7000W,AIRPORT,Y-L
DAL,032-50-45.4000N,096-51-03.1600W,AIRPORT,Y-L
LUD,033-15-15.3000N,097-34-49.8000W,AIRPORT,Y-L
DTO,033-12-07.0600N,097-11-56.7500W,AIRPORT,Y-L
CLL,030-35-16.9500N,096-21-45.1600W,AIRPORT,Y-L
GGG,032-23-02.4000N,094-42-41.4000W,AIRPORT,Y-L
EFD,029-36-26.4000N,095-09-31.5000W,AIRPORT,Y-L
ELP,031-48-26.4000N,106-22-34.9000W,AIRPORT,Y-L
FTW,032-49-11.1700N,097-21-44.8200W,AIRPORT,Y-L
GNC,032-40-31.2000N,102-39-09.6000W,AIRPORT,Y-L
UVA,029-12-40.8000N,099-44-36.9000W,AIRPORT,Y-L
IAH,029-59-03.9700N,095-20-29.1900W,AIRPORT,Y-L
GTU,030-40-43.7000N,097-40-45.8000W,AIRPORT,Y-L
T82,030-14-35.7000N,098-54-33.1000W,AIRPORT,Y-L
DZB,030-31-37.3900N,098-21-31.5200W,AIRPORT,Y
TME,029-48-18.1000N,095-53-52.4000W,AIRPORT,Y-L
AQO,030-47-03.2000N,098-39-35.6000W,AIRPORT,Y-L
LBB,033-39-49.2000N,101-49-14.0000W,AIRPORT,Y-L
GVT,033-04-04.2000N,096-03-55.2000W,AIRPORT,Y-L
MRF,030-22-16.0000N,104-01-03.1000W,AIRPORT,Y-L
MAF,031-56-33.1000N,102-12-06.9000W,AIRPORT,Y-L
MWL,032-46-53.7800N,098-03-36.6300W,AIRPORT,Y-L
ODO,031-55-17.0900N,102-23-13.6800W,AIRPORT,Y-L
AFW,032-59-25.3900N,097-19-09.9900W,AIRPORT,Y-L
AMA,035-13-09.7000N,101-42-21.3000W,AIRPORT,Y-L
SJT,031-21-27.8900N,100-29-46.7000W,AIRPORT,Y-L
SAT,029-32-02.2500N,098-28-08.6000W,AIRPORT,Y-L
SPS,033-59-19.6800N,098-29-30.8500W,AIRPORT,Y-L
SWI,033-37-26.9000N,096-35-10.1000W,AIRPORT,Y-L
SSF,029-20-13.1300N,098-28-15.7600W,AIRPORT,Y-L
TRL,032-42-30.5800N,096-16-01.5400W,AIRPORT,Y-L
VCT,028-51-15.1400N,096-55-07.4400W,AIRPORT,Y-L
ACT,031-36-43.9000N,097-13-49.1000W,AIRPORT,
F05,034-13-32.4000N,099-17-01.5000W,AIRPORT,Y-L
HOU,029-38-44.8800N,095-16-38.0300W,AIRPORT,Y
CNY,038-45-27.4700N,109-45-12.4700W,AIRPORT,Y-L
PUC,039-36-50.0000N,110-45-05.8000W,AIRPORT,Y
CDC,037-42-03.4900N,113-05-55.8600W,AIRPORT,Y-L
HIF,041-07-26.1800N,111-58-23.0000W,AIRPORT,Y
DPG,040-11-50.5700N,112-56-06.2000W,AIRPORT,
OGD,041-11-42.2500N,112-00-43.9000W,AIRPORT,Y-L
PVU,040-13-09.0000N,111-43-24.1000W,AIRPORT,
RIF,038-44-02.8000N,112-06-05.7000W,AIRPORT,Y-L
SLC,040-47-18.2200N,111-58-39.9800W,AIRPORT,Y-L
BTF,040-52-05.3400N,111-55-39.0000W,AIRPORT,Y
U42,040-37-10.3700N,111-59-34.4000W,AIRPORT,Y-L
SGU,037-02-10.9600N,113-30-37.0900W,AIRPORT,Y-L
VEL,040-26-09.8800N,109-30-41.1200W,AIRPORT,Y-L
ENV,040-43-07.4100N,114-01-43.2200W,AIRPORT,Y
HSP,037-57-05.2000N,079-50-02.0200W,AIRPORT,Y-L
JYO,039-04-40.7000N,077-33-27.0000W,AIRPORT,Y
RIC,037-30-18.6500N,077-19-11.0600W,AIRPORT,Y-L
ROA,037-19-31.7000N,079-58-31.5000W,AIRPORT,Y-L
RMN,038-23-53.2000N,077-27-19.7000W,AIRPORT,Y-L
JFZ,037-03-49.4900N,081-47-53.7600W,AIRPORT,Y-L
74S,048-29-54.6200N,122-39-44.8900W,AIRPORT,Y
S97,048-06-17.0200N,119-43-11.7000W,AIRPORT,Y-L
AWO,048-09-38.7000N,122-09-32.5000W,AIRPORT,Y-L
BLI,048-47-33.7000N,122-32-15.1000W,AIRPORT,Y-L
BFI,047-31-47.9000N,122-18-07.0000W,AIRPORT,Y-L
DEW,047-58-01.4000N,117-25-42.9100W,AIRPORT,Y-L
SFF,047-40-58.5900N,117-19-20.7300W,AIRPORT,Y-L
FHR,048-31-19.1000N,123-01-27.7000W,AIRPORT,Y-L
MWH,047-12-30.9000N,119-19-08.9000W,AIRPORT,Y-L
TCM,047-08-15.6400N,122-28-35.3100W,AIRPORT,
S52,048-25-29.8100N,120-08-45.1900W,AIRPORT,Y
OLM,046-58-09.8600N,122-54-09.1600W,AIRPORT,Y-L
EAT,047-23-55.7000N,120-12-24.6000W,AIRPORT,Y-L
VUO,045-37-13.6300N,122-39-23.3600W,AIRPORT,Y-L
PUW,046-44-30.0900N,117-06-41.8300W,AIRPORT,Y-L
RNT,047-29-35.3000N,122-12-56.7000W,AIRPORT,Y-L
BVS,048-28-13.8900N,122-25-18.0800W,AIRPORT,Y-L
PAE,047-54-26.3500N,122-16-55.5400W,AIRPORT,Y-L
GEG,047-37-08.5000N,117-32-06.8000W,AIRPORT,Y-L
TIW,047-16-04.6000N,122-34-41.2000W,AIRPORT,Y-L
PSC,046-15-52.8500N,119-07-08.4900W,AIRPORT,Y-L
ALW,046-05-33.1500N,118-17-02.7000W,AIRPORT,Y-L
CLM,048-07-12.7000N,123-29-58.9000W,AIRPORT,Y-L
YKM,046-34-05.4000N,120-32-38.6000W,AIRPORT,Y-L
ATW,044-15-29.1400N,088-31-08.6600W,AIRPORT,Y-L
SUE,044-50-37.2000N,087-25-17.5000W,AIRPORT,Y-L
GRB,044-29-04.6800N,088-07-46.9700W,AIRPORT,Y-L
ENW,042-35-45.8300N,087-55-38.3600W,AIRPORT,Y
LSE,043-52-45.3600N,091-15-23.8800W,AIRPORT,Y-L
MWC,043-06-37.4000N,088-02-03.9000W,AIRPORT,Y
C35,043-31-33.2400N,089-58-59.6000W,AIRPORT,Y-L
Y51,043-34-46.7000N,090-53-51.8000W,AIRPORT,Y-L
MRB,039-24-08.4900N,077-58-58.8000W,AIRPORT,Y-L
I18,038-55-47.2000N,081-49-10.1000W,AIRPORT,Y-L
46U,043-10-54.5000N,111-02-18.6000W,AIRPORT,Y
CPR,042-54-21.1000N,106-27-49.1000W,AIRPORT,Y-L
CYS,041-09-20.3000N,104-48-37.7000W,AIRPORT,Y-L
EVW,041-16-29.2000N,111-02-04.7000W,AIRPORT,Y-L
LND,042-48-55.3800N,108-43-42.8300W,AIRPORT,Y-L
JAC,043-36-26.4000N,110-44-15.9000W,AIRPORT,Y-L
LAR,041-18-43.4000N,105-40-30.0000W,AIRPORT,Y-L
GCC,044-20-56.0700N,105-32-21.7200W,AIRPORT,Y-L
SHR,044-46-09.1000N,106-58-49.0000W,AIRPORT,Y-L
SAA,041-26-36.7000N,106-49-39.1000W,AIRPORT,Y-L
GEY,044-31-04.6000N,108-04-58.8000W,AIRPORT,Y-L
RKS,041-35-39.2000N,109-03-54.7000W,AIRPORT,Y-L
COD,044-31-12.7000N,109-01-25.7000W,AIRPORT,Y-L
CYXX,049-01-31.0000N,122-21-36.0000W,AIRPORT,
MYAF,024-41-52.5400N,077-47-44.4400W,AIRPORT,
MYAM,026-30-36.4600N,077-05-06.4200W,AIRPORT,
CYCD,049-03-16.0000N,123-52-12.0000W,AIRPORT,
CYYF,049-27-47.0000N,119-36-08.0000W,AIRPORT,
CYSU,046-26-26.0000N,063-50-01.0000W,AIRPORT,
CYQT,048-22-19.0000N,089-19-26.0000W,AIRPORT,
CZBB,049-04-27.0000N,123-00-27.0000W,AIRPORT,Y-L
CYVR,049-11-41.0000N,123-11-02.0000W,AIRPORT,
CYYJ,048-38-53.0100N,123-25-38.7900W,AIRPORT,
CYXY,060-42-34.0000N,135-04-02.0000W,AIRPORT,
