,Loc Id,ARP Latitude,ARP Longitude,Facility Type,Runway Id,Length,Width,Surface Type Condition,WBC Single,WBC Dual,WBC Two Dual,WBC Tandem Two Dual,Schedule
0,ADK,051-53-00.9000N,176-38-32.9400W,AIRPORT,07/25,1104,60,TURF-G,0.0,0.0,0.0,0.0,ALL/ALL/ALL
1,7AK,054-08-40.6000N,165-36-14.7900W,AIRPORT,H1,50,50,CONC,0.0,0.0,0.0,0.0,ALL/MON - FRI/0630-0000
2,6A8,066-33-06.6000N,152-37-19.8000W,AIRPORT,18/36,5264,100,ASPH-E,45.0,75.0,0.0,0.0,ALL/MON-FRI/0700-1700
3,BIG,063-59-42.6000N,145-43-12.2000W,AIRPORT,H1,30,30,ASPH,0.0,0.0,0.0,0.0,ALL/SAT-SUN/0800-1700
4,AK15,070-20-39.4000N,150-56-41.1000W,AIRPORT,H1,90,50,CONC,0.0,0.0,0.0,0.0,UNATNDD
5,BET,060-46-42.8000N,161-50-13.8000W,AIRPORT,H1,40,40,CONC-G,0.0,0.0,0.0,0.0,ALL/MON-FRI/0800-1700
6,BGQ,061-32-04.8600N,149-48-45.1700W,AIRPORT,H1,40,40,CONC,0.0,0.0,0.0,0.0,UNATNDD
7,9A3,061-34-44.6000N,159-12-56.3000W,AIRPORT,H2,50,50,ASPH,0.0,0.0,0.0,0.0,ATTENDED DURG SKED TRNG
8,CDB,055-12-21.3000N,162-43-34.5000W,AIRPORT,H5,1000,60,ASPH,0.0,0.0,0.0,0.0,UNATTND
9,DLG,059-02-40.8000N,158-30-19.8000W,AIRPORT,H3,1600,75,ASPH,0.0,0.0,0.0,0.0,ALL/ALL/ALL
10,GAL,064-44-10.2800N,156-56-04.4000W,AIRPORT,H1,500,100,ASPH,0.0,0.0,0.0,0.0,ALL/ALL/ALL
11,EDF,061-15-04.8700N,149-48-23.4900W,AIRPORT,H3,1600,50,ASPH,0.0,0.0,0.0,0.0,UNATNDD
12,FAI,064-48-55.2800N,147-51-24.0000W,AIRPORT,H3,2000,50,ASPH,0.0,0.0,0.0,0.0,ALL/ALL/ALL
13,FYU,066-34-20.7000N,145-14-46.8000W,AIRPORT,H5,50,50,ASPH,0.0,0.0,0.0,0.0,UNATNDD
14,GKN,062-09-15.6000N,145-27-19.0500W,AIRPORT,H1,20,20,CONC,0.0,0.0,0.0,0.0,ALL/ALL/ALL
15,GST,058-25-31.0000N,135-42-26.7000W,AIRPORT,18/36,5495,100,ASPH-G,15.0,0.0,0.0,0.0,ALL/ALL/0800-1700
16,HNS,059-14-37.7900N,135-31-24.7400W,AIRPORT,11/29,3400,75,TURF,0.0,0.0,0.0,0.0,ALL/ALL/ALL
17,HOM,059-38-41.9800N,151-29-08.9100W,AIRPORT,18L/36R,10001,150,ASPH-F,120.0,250.0,550.0,0.0,UNATNDD
18,HPB,061-31-25.9300N,166-08-47.8400W,AIRPORT,18/36,6500,100,ASPH-F,60.0,75.0,140.0,0.0,ALL/ALL/ALL
19,HLA,065-41-52.3000N,156-21-05.0000W,AIRPORT,18/36,1800,60,TURF,0.0,0.0,0.0,0.0,ALL/ALL/0700-1700
20,JNU,058-21-16.9600N,134-34-42.4900W,AIRPORT,14/32,9618,150,ASPH-CONC-G,75.0,185.0,325.0,0.0,ALL/ALL/0800-1700
21,ENA,060-34-23.8000N,151-14-41.4000W,AIRPORT,09/27,3500,50,TURF,0.0,0.0,0.0,0.0,ALL/MON-SAT/0800-1800
22,KTN,055-21-14.7000N,131-42-40.4000W,AIRPORT,H1,40,40,PFC,0.0,0.0,0.0,0.0,ALL/ALL/ALL
23,KVC,055-06-58.9800N,162-15-59.5300W,AIRPORT,12/30,6694,150,ASPH-E,59.0,98.0,160.0,0.0,ALL/ALL/0800-1700
24,ADQ,057-44-59.2600N,152-29-38.2000W,AIRPORT,07/25,2250,100,TURF,0.0,0.0,0.0,0.0,ALL/ALL/ALL
25,FBK,064-50-15.4000N,147-36-52.1700W,AIRPORT,09/27,5400,100,ASPH-E,30.0,0.0,0.0,0.0,UNATNDD
26,MLY,064-59-16.6000N,150-38-51.3000W,AIRPORT,05/23,3998,150,ASPH,0.0,0.0,0.0,0.0,UNATNDD
27,MCG,062-57-10.0200N,155-36-25.3700W,AIRPORT,H1,60,60,CONC,0.0,0.0,0.0,0.0,ALL/MON-FRI/0800-1600
28,CDV,060-29-29.9000N,145-28-39.2100W,AIRPORT,04/22,6498,150,ASPH-E,120.0,250.0,450.0,972.0,UNATNDD
29,MRI,061-12-48.7700N,149-50-40.9500W,AIRPORT,12/30,4000,100,ASPH-F,15.0,0.0,0.0,0.0,ALL/ALL/ALL
30,ENN,064-32-50.2800N,149-04-26.1300W,AIRPORT,17/35,1950,35,DIRT,0.0,0.0,0.0,0.0,ALL/MON-FRI/0730-1600
31,OME,064-30-45.2000N,165-26-39.8000W,AIRPORT,H1,30,30,GRAVEL,0.0,0.0,0.0,0.0,ALL/ALL/ALL
32,NUL,064-43-45.6000N,158-04-27.2000W,AIRPORT,H1,100,100,CONC-E,0.0,0.0,0.0,0.0,ALL/MON-FRI/0800-1700
33,PSG,056-48-05.3000N,132-56-46.4000W,AIRPORT,17/35,2500,75,DIRT,0.0,0.0,0.0,0.0,ALL/SUN/ON CALL
34,TAL,065-10-27.8000N,152-06-29.2000W,AIRPORT,E/W,3600,60,DIRT,0.0,0.0,0.0,0.0,ALL/MON-FRI/0730-1700
35,SDP,055-18-49.3000N,160-31-17.1300W,AIRPORT,08/26,2436,24,ASPH-G,0.0,0.0,0.0,0.0,UNATNDD
36,SIT,057-02-48.6000N,135-21-39.8500W,AIRPORT,H2,40,50,ASPH-CONC,0.0,0.0,0.0,0.0,ALL/MON-FRI/0700-1800
37,SXQ,060-28-30.5000N,151-02-22.7000W,AIRPORT,06/24,2700,65,DIRT,0.0,0.0,0.0,0.0,UNATNDD
38,PBV,056-34-38.5000N,169-39-49.4000W,AIRPORT,01/19,6250,100,ASPH-G,30.0,50.0,0.0,0.0,ALL/ALL/ALL
39,SNP,057-09-58.7000N,170-13-21.2000W,AIRPORT,H1,50,50,CONC-G,0.0,0.0,0.0,0.0,UNATTND
40,ANC,061-10-26.7000N,149-59-53.3000W,AIRPORT,H3,60,60,CONC,0.0,0.0,0.0,0.0,UNATNDD
41,6K8,063-19-46.2500N,142-57-13.2600W,AIRPORT,12L/30R,9300,150,CONC-G,75.0,210.0,590.0,850.0,ALL/MON-SAT/0800-1700
42,UBW,070-19-50.4000N,149-35-53.0000W,AIRPORT,03/21,2500,45,DIRT,0.0,0.0,0.0,0.0,UNATNDD
43,DUT,053-53-56.2000N,166-32-42.1000W,AIRPORT,H1,120,120,ASPH,0.0,0.0,0.0,0.0,UNATNDD
44,VDZ,061-08-03.2000N,146-14-41.1700W,AIRPORT,12/30,6007,100,ASPH-G,33.0,0.0,0.0,0.0,UNATNDD
45,PAQ,061-35-41.7000N,149-05-19.4000W,AIRPORT,H1,40,40,CONC,0.0,0.0,0.0,0.0,UNATNDD
46,BRW,071-17-05.5000N,156-46-06.9000W,AIRPORT,H1,50,50,CONC-G,0.0,0.0,0.0,0.0,ALL/ALL/DALGT
47,WRG,056-29-03.6000N,132-22-11.4000W,AIRPORT,H1,60,60,CONC,0.0,0.0,0.0,0.0,ALL/MON-SAT/0800-1700
48,YAK,059-30-11.9600N,139-39-36.9700W,AIRPORT,02/20,2900,50,DIRT,0.0,0.0,0.0,0.0,UNATNDD
49,BHM,033-33-50.0000N,086-45-08.3000W,AIRPORT,H2,60,60,CONC,0.0,0.0,0.0,0.0,UNATNDD
50,DHN,031-19-15.7000N,085-26-58.1000W,AIRPORT,03/21,6095,75,ASPH-G,50.0,75.0,135.0,0.0,ALL/ALL/ALL
51,EDN,031-17-59.0000N,085-53-59.4000W,AIRPORT,H2,40,40,ASPH,0.0,0.0,0.0,0.0,ALL/ALL/0800-1800
52,BFM,030-37-36.4100N,088-04-05.1300W,AIRPORT,17/35,3100,50,TURF,0.0,0.0,0.0,0.0,UNATNDD
53,EET,033-10-40.0000N,086-46-59.6000W,AIRPORT,16/34,2900,125,TURF-E,0.0,0.0,0.0,0.0,UNATNDD
54,LIT,034-43-45.9900N,092-13-29.2000W,AIRPORT,H1,145,75,ASPH,0.0,0.0,0.0,0.0,UNATNDD
55,FYV,036-00-18.3000N,094-10-12.2000W,AIRPORT,18/36,2500,75,TURF,0.0,0.0,0.0,0.0,UNATNDD
56,FSM,035-20-11.7100N,094-22-02.8000W,AIRPORT,18/36,6015,100,ASPH-G,75.0,150.0,200.0,300.0,ALL/ALL/ALL
57,JBR,035-49-54.1600N,090-38-47.1200W,AIRPORT,H1,65,65,CONC,0.0,0.0,0.0,0.0,UNATNDD
58,HOT,034-28-40.9000N,093-05-46.4000W,AIRPORT,08/26,2840,60,ASPH-TRTD,0.0,0.0,0.0,0.0,ALL/MON-SAT/0800-1700
59,SGT,034-35-58.1200N,091-34-30.0000W,AIRPORT,16/34,5000,75,ASPH-G,12.0,0.0,0.0,0.0,UNATNDD
60,TXK,033-27-13.4000N,093-59-27.7000W,AIRPORT,15/33,1032,40,TURF,0.0,0.0,0.0,0.0,UNATNDD
61,P20,034-08-59.4000N,114-16-04.2000W,AIRPORT,16/34,2600,60,DIRT-G,0.0,0.0,0.0,0.0,ALL/ALL/0800-1700
62,P52,034-43-48.2000N,112-02-06.4900W,AIRPORT,11/29,3000,40,DIRT,0.0,0.0,0.0,0.0,ALL/MON-SAT/0800-1700
63,DMA,032-09-58.9100N,110-52-59.4100W,AIRPORT,08/26,6386,150,ASPH-G,0.0,0.0,0.0,0.0,ALL/ALL/ALL
64,FFZ,033-27-39.0300N,111-43-41.9700W,AIRPORT,12/30,3011,75,ASPH-G,19.0,0.0,0.0,0.0,UNATNDD
65,FLG,035-08-25.1400N,111-40-09.2700W,AIRPORT,03R/21L,10995,150,CONC,0.0,0.0,0.0,0.0,ALL/ALL/DAWN-DUSK
66,GEU,033-31-36.9000N,112-17-42.5000W,AIRPORT,16/34,3000,40,ASPH,0.0,0.0,0.0,0.0,UNATNDD
67,88AZ,033-38-27.2700N,111-03-24.9000W,AIRPORT,16/34,3700,50,ASPH-F,12.0,0.0,0.0,0.0,MAY-OCT/ALL/0700-1900
68,IGM,035-15-34.1200N,113-56-16.9800W,AIRPORT,17/35,1300,60,DIRT,0.0,0.0,0.0,0.0,ALL/MON-FRI/0800-1530
69,HII,034-34-16.0500N,114-21-29.8000W,AIRPORT,H1,42,42,CONC,0.0,0.0,0.0,0.0,ALL/ALL/DALGT
70,IFP,035-09-16.6100N,114-33-33.6000W,AIRPORT,H1,64,56,CONC,0.0,0.0,0.0,0.0,ALL/MON-FRI/DAWN-1900
71,AVQ,032-24-34.4000N,111-13-06.2000W,AIRPORT,H1,66,66,ASPH,0.0,0.0,0.0,0.0,UNATNDD
72,OLS,031-25-03.8000N,110-50-52.4000W,AIRPORT,07/25,5300,90,DIRT-F,0.0,0.0,0.0,0.0,UNATNDD
73,PGA,036-55-33.8500N,111-26-54.0600W,AIRPORT,06/24,3260,40,ASPH-G,4.0,0.0,0.0,0.0,UNATNDD
74,PAN,034-15-24.6100N,111-20-21.3200W,AIRPORT,05W/23W,3000,60,WATER-G,0.0,0.0,0.0,0.0,ALL/ALL/0700-2100
75,DVT,033-41-17.9000N,112-04-57.2000W,AIRPORT,H1,100,100,ASPH,0.0,0.0,0.0,0.0,ALL/ALL/ALL
76,GYR,033-25-23.8000N,112-22-31.3000W,AIRPORT,H1,44,44,CONC,0.0,0.0,0.0,0.0,UNATNDD
77,IWA,033-18-28.1700N,111-39-19.6500W,AIRPORT,H1,55,55,PSP,0.0,0.0,0.0,0.0,ALL/ALL/0700-2100
78,PHX,033-26-03.4000N,112-00-41.7000W,AIRPORT,H1,45,45,CONC,0.0,0.0,0.0,0.0,UNATNDD
79,MZJ,032-30-35.4000N,111-19-31.2000W,AIRPORT,14/32,2980,60,ASPH-F,12.0,0.0,0.0,0.0,ALL/ALL/ALL
80,PRC,034-39-17.4000N,112-25-09.2000W,AIRPORT,05/23,1498,30,DIRT-F,0.0,0.0,0.0,0.0,ALL/SUN/2200-0200Z++
81,RYN,032-08-31.9600N,111-10-28.4900W,AIRPORT,H1,50,50,CONC,0.0,0.0,0.0,0.0,UNATNDD
82,SAD,032-51-12.0300N,109-38-06.2900W,AIRPORT,H1,100,60,TURF,0.0,0.0,0.0,0.0,ALL/ALL/0800-1700
83,P13,033-21-11.3000N,110-40-02.5000W,AIRPORT,H1,15,15,CONC,0.0,0.0,0.0,0.0,ALL/ALL/ALL
84,SDL,033-37-22.4000N,111-54-37.9000W,AIRPORT,16/34,1900,75,TURF,0.0,0.0,0.0,0.0,ALL/ALL/DALGT
85,SEZ,034-50-54.9200N,111-47-18.4100W,AIRPORT,N/S,2500,50,GRVL-TRTD,0.0,0.0,0.0,0.0,UNATNDD
86,FHU,031-35-18.5000N,110-20-39.8000W,AIRPORT,H3,20,20,ASPH-CONC,0.0,0.0,0.0,0.0,ALL/ALL/ALL
87,JTC,034-07-45.9000N,109-18-39.1000W,AIRPORT,H1,50,30,CONC,0.0,0.0,0.0,0.0,ALL/ALL/ALL
88,TUS,032-06-57.8500N,110-56-27.6500W,AIRPORT,17/35,3488,50,ASPH,0.0,0.0,0.0,0.0,UNATNDD
89,E25,033-58-14.2700N,112-47-42.3200W,AIRPORT,H1,66,65,CONC,0.0,0.0,0.0,0.0,UNATNDD
90,INW,035-01-18.8700N,110-43-21.0600W,AIRPORT,H5,20,20,ASPH-G,0.0,0.0,0.0,0.0,UNATNDD
91,NYL,032-39-23.6700N,114-36-21.5500W,AIRPORT,04R/22L,7999,200,ASPH-CONC,0.0,0.0,0.0,0.0,UNATNDD
92,APV,034-34-31.2000N,117-11-10.3000W,AIRPORT,H1,50,50,ASPH,0.0,0.0,0.0,0.0,DEC-APR/ALL/0800-1730
93,AUN,038-57-17.4000N,121-04-54.2000W,AIRPORT,H1,25,25,CONC,0.0,0.0,0.0,0.0,UNATNDD
94,DAG,034-51-13.4000N,116-47-12.1000W,AIRPORT,06R/24L,10885,150,CONC-G,175.0,225.0,400.0,900.0,UNATNDD
95,L35,034-15-49.6000N,116-51-21.7000W,AIRPORT,H1,40,30,CONC,0.0,0.0,0.0,0.0,ALL/ALL/0900-1700
96,BUR,034-12-02.5000N,118-21-31.2000W,AIRPORT,08/26,3305,60,ASPH-F,12.0,0.0,0.0,0.0,UNATNDD
97,C83,037-49-42.4000N,121-37-33.0000W,AIRPORT,12/30,12503,200,ASPH-E,120.0,150.0,450.0,0.0,UNATNDD
98,ACV,040-58-40.1800N,124-06-30.4900W,AIRPORT,14R/32L,8121,200,ASPH,0.0,0.0,0.0,0.0,ALL/ALL/ALL
99,CMA,034-12-49.5300N,119-05-39.6800W,AIRPORT,H1,45,45,CONC,0.0,0.0,0.0,0.0,UNATNDD
100,MER,037-22-49.7400N,120-34-05.4700W,AIRPORT,03/21,2100,75,DIRT,0.0,0.0,0.0,0.0,ALL/ALL/ALL
101,STS,038-30-34.9000N,122-48-46.4000W,AIRPORT,10R/28L,6213,150,ASPH-G,75.0,210.0,500.0,900.0,UNATNDD
102,CIC,039-47-43.4000N,121-51-30.3000W,AIRPORT,H1,34,34,CONC-G,0.0,0.0,0.0,0.0,ALL/ALL/ALL
103,CNO,033-58-29.2100N,117-38-11.3400W,AIRPORT,H1,75,75,TURF,0.0,0.0,0.0,0.0,UNATNDD
104,O22,038-01-49.5000N,120-24-52.4000W,AIRPORT,H1,568,410,CONC,0.0,0.0,0.0,0.0,ALL/ALL/ALL
105,FAT,036-46-35.6000N,119-43-07.8000W,AIRPORT,H1,60,60,ASPH-G,0.0,0.0,0.0,0.0,UNATNDD
106,FUL,033-52-19.2500N,117-58-47.2200W,AIRPORT,06/24,3190,50,ASPH-P,0.0,0.0,0.0,0.0,UNATNDD
107,WJF,034-44-27.8000N,118-13-07.1000W,AIRPORT,08/26,3600,50,ASPH-F,0.0,0.0,0.0,0.0,UNATNDD
108,HAF,037-30-48.4000N,122-30-04.2000W,AIRPORT,16/34,10599,150,CONC-G,155.0,300.0,500.0,0.0,UNATNDD
109,HMT,033-44-02.5000N,117-01-20.3000W,AIRPORT,H1,30,30,ASPH-CONC,0.0,0.0,0.0,0.0,ALL/ALL/0600-2100
110,CEC,041-46-48.6000N,124-14-11.5000W,AIRPORT,H1,150,100,ASPH,0.0,0.0,0.0,0.0,UNATNDD
111,TRM,033-37-36.0100N,116-09-34.7600W,AIRPORT,01L/19R,7650,200,ASPH-G,75.0,200.0,400.0,877.0,UNATNDD
112,SNA,033-40-32.3800N,117-52-05.6400W,AIRPORT,07/25,2500,100,ASPH-G,12.0,12.0,0.0,0.0,UNATNDD
113,TVL,038-53-38.0000N,119-59-43.2000W,AIRPORT,H1,60,60,ASPH-E,0.0,0.0,0.0,0.0,ALL/ALL/ALL
114,NLC,036-19-59.2600N,119-57-07.7800W,AIRPORT,06/24,2300,40,TURF,0.0,0.0,0.0,0.0,UNATNDD
115,LHM,038-54-33.0000N,121-21-04.8000W,AIRPORT,H1,100,100,ASPH,19.0,0.0,0.0,0.0,UNATNDD
116,LVK,037-41-36.2000N,121-49-13.3000W,AIRPORT,11W/29W,10000,2400,WATER,0.0,0.0,0.0,0.0,UNATNDD
117,LGB,033-49-04.5500N,118-09-06.8100W,AIRPORT,H1,52,48,CONC,0.0,0.0,0.0,0.0,ALL/ALL/ALL
118,SLI,033-47-24.1100N,118-03-05.1100W,AIRPORT,15/33,2380,30,ASPH-F,0.0,0.0,0.0,0.0,UNATNDD
119,LAX,033-56-32.9900N,118-24-28.9700W,AIRPORT,08/26,2490,40,ASPH-F,8.0,0.0,0.0,0.0,IREG
120,RIV,033-52-55.0000N,117-15-32.4600W,AIRPORT,14/32,2600,60,ASPH,0.0,0.0,0.0,0.0,UNATNDD
121,MCC,038-40-03.5000N,121-24-02.2000W,AIRPORT,16/34,4600,50,ASPH-G,12.0,0.0,0.0,0.0,UNATNDD
122,CRQ,033-07-41.7000N,117-16-48.3000W,AIRPORT,H1,120,120,ASPH-G,0.0,0.0,0.0,0.0,UNATNDD
123,BFL,035-26-01.9000N,119-03-27.6000W,AIRPORT,H1,40,40,CONC,0.0,0.0,0.0,0.0,UNATNDD
124,MCE,037-17-05.1000N,120-30-50.1000W,AIRPORT,H1,48,48,CONC-G,0.0,0.0,0.0,0.0,UNATNDD
125,OAK,037-43-16.5400N,122-13-16.1400W,AIRPORT,H1,24,24,CONC,0.0,0.0,0.0,0.0,UNATNDD
126,MOD,037-37-32.9700N,120-57-15.9500W,AIRPORT,17/35,5910,60,ASPH-F,0.0,0.0,0.0,0.0,UNATNDD
127,NUQ,037-24-58.1200N,122-02-56.8700W,AIRPORT,H1,52,52,ASPH-G,0.0,0.0,0.0,0.0,UNATNDD
128,MRY,036-35-13.0300N,121-50-34.0200W,AIRPORT,13/31,3901,75,ASPH-G,12.0,0.0,0.0,0.0,ALL/ALL/ALL
129,APC,038-12-47.4800N,122-16-50.4700W,AIRPORT,10/28,8015,150,PSP,80.0,180.0,320.0,850.0,NOV-MAR/ALL/0700-1800
130,EED,034-45-58.8500N,114-37-23.8100W,AIRPORT,H1,50,50,CONC,0.0,0.0,0.0,0.0,UNATNDD
131,SJC,037-21-46.7800N,121-55-43.0300W,AIRPORT,02/20,4700,75,ASPH-G,30.0,0.0,0.0,0.0,No Information
132,ONT,034-03-21.6500N,117-36-04.2800W,AIRPORT,17/35,13052,150,ASPH-CONC-G,60.0,200.0,400.0,850.0,UNATNDD
133,OXR,034-12-02.9000N,119-12-26.0200W,AIRPORT,H1,100,100,ASPH,0.0,0.0,0.0,0.0,UNATNDD
134,PMD,034-37-45.8000N,118-05-04.3900W,AIRPORT,14/32,5000,60,ASPH-G,12.0,0.0,0.0,0.0,ALL/MON-FRI/0730-1530
135,PSP,033-49-46.8000N,116-30-24.1000W,AIRPORT,H1,54,54,CONC,0.0,0.0,0.0,0.0,UNATNDD
136,PRB,035-40-22.4000N,120-37-37.5000W,AIRPORT,H1,75,75,CONC,0.0,0.0,0.0,0.0,UNATNDD
137,PVF,038-43-27.2200N,120-45-11.9100W,AIRPORT,07/25,2640,100,DIRT,0.0,0.0,0.0,0.0,UNATNDD
138,PTV,036-01-46.5000N,119-03-45.8000W,AIRPORT,02/20,2500,50,DIRT,0.0,0.0,0.0,0.0,UNATNDD
139,RBL,040-09-01.1000N,122-15-07.9000W,AIRPORT,07/25,2600,35,TURF,0.0,0.0,0.0,0.0,UNATNDD
140,RDD,040-30-32.3000N,122-17-36.2000W,AIRPORT,H1,100,100,TURF,0.0,0.0,0.0,0.0,UNATNDD
141,O32,036-40-15.6000N,119-27-03.7000W,AIRPORT,10/28,1800,75,GRVL,0.0,0.0,0.0,0.0,ALL/ALL/0600-2200
142,FOT,040-33-14.1900N,124-07-57.5600W,AIRPORT,12/30,3200,60,TURF,0.0,0.0,0.0,0.0,UNATNDD
143,SAC,038-30-46.3000N,121-29-35.8800W,AIRPORT,08/26,3000,40,GRAVEL,0.0,0.0,0.0,0.0,UNATNDD
144,SMF,038-41-43.6000N,121-35-26.8000W,AIRPORT,H1,36,36,WOOD,0.0,0.0,0.0,0.0,UNATNDD
145,MHR,038-33-19.1200N,121-17-49.9600W,AIRPORT,H1,20,20,DIRT,0.0,0.0,0.0,0.0,ALL/MON-FRI/0800-SS
146,SNS,036-39-46.0300N,121-36-22.9200W,AIRPORT,11/29,5399,75,ASPH-G,26.0,26.0,0.0,0.0,UNATNDD
147,SBD,034-05-43.3000N,117-14-05.6000W,AIRPORT,H1,22,22,CONC,0.0,0.0,0.0,0.0,UNATNDD
148,SAN,032-44-00.8300N,117-11-22.7900W,AIRPORT,17/35,2400,50,TURF,0.0,0.0,0.0,0.0,UNATNDD
149,SFO,037-37-07.7000N,122-22-31.5000W,AIRPORT,H1,100,100,GRAVEL,0.0,0.0,0.0,0.0,UNATNDD
150,EMT,034-05-09.6300N,118-02-05.4400W,AIRPORT,04/22,2880,40,ASPH-F,0.0,0.0,0.0,0.0,UNATNDD
151,SBP,035-14-14.2000N,120-38-33.4000W,AIRPORT,H1,80,40,CONC-G,0.0,0.0,0.0,0.0,ALL/ALL/0800-2400
152,SBA,034-25-34.2900N,119-50-29.3700W,AIRPORT,15G/33G,5001,200,TURF-F,0.0,0.0,0.0,0.0,ALL/MON-FRI/0830-DUSK
153,SMX,034-53-59.8000N,120-27-29.1000W,AIRPORT,H1,40,40,CONC-F,0.0,0.0,0.0,0.0,IREG
154,MIT,035-30-26.9200N,119-11-31.6700W,AIRPORT,04/22,2500,40,GRVL-DIRT,0.0,0.0,0.0,0.0,ALL/ALL/0630-2230
155,SIY,041-46-53.2000N,122-28-05.2000W,AIRPORT,H1,48,48,ROOF-TOP,0.0,0.0,0.0,0.0,UNATNDD
