Type Aircraft,Fixed Wing Multi-Engine,Fixed Wing Single-Engine,Rotorcraft
,50.0,64.0,90.0
25/05/2022,26.0,64.0,90.0
26/05/2022,21.0,64.0,90.0
27/05/2022,16.5,64.0,90.0
28/05/2022,13.8,64.0,90.0
29/05/2022,4.2,,
30/05/2022,4.2,,
31/05/2022,3.2,,
1/06/2022,4.0,,
2/06/2022,6.4,4.0,17.0
3/06/2022,23.0,18.5,73.5
4/06/2022,38.0,20.3,77.7
5/06/2022,46.0,21.0,77.5
6/06/2022,68.0,24.2,84.8
7/06/2022,85.8,31.2,102.6
8/06/2022,83.4,35.8,99.2
9/06/2022,100.0,38.8,101.2
10/06/2022,130.6,43.0,114.6
11/06/2022,138.6,38.2,115.6
12/06/2022,148.4,33.0,118.6
13/06/2022,180.8,28.0,126.8
14/06/2022,183.2,28.8,135.8
15/06/2022,173.8,29.2,130.4
16/06/2022,171.4,37.8,131.0
17/06/2022,160.2,43.4,125.6
18/06/2022,131.0,42.2,112.8
19/06/2022,117.2,36.2,95.6
20/06/2022,112.8,34.8,99.6
21/06/2022,112.6,31.4,104.4
22/06/2022,121.8,32.0,118.0
23/06/2022,141.6,38.4,138.4
24/06/2022,148.4,45.0,159.8
25/06/2022,150.4,45.2,152.8
26/06/2022,144.2,41.4,138.8
27/06/2022,134.4,38.2,126.8
28/06/2022,138.4,34.4,118.6
29/06/2022,137.4,31.8,114.2
30/06/2022,129.0,32.2,126.8
1/07/2022,121.8,34.0,129.2
2/07/2022,118.8,31.6,122.0
3/07/2022,86.4,25.8,104.0
4/07/2022,84.6,23.4,90.2
5/07/2022,90.4,20.2,77.0
6/07/2022,94.8,22.8,79.2
7/07/2022,108.4,28.6,88.6
8/07/2022,137.2,38.0,107.8
9/07/2022,135.2,41.2,114.4
10/07/2022,138.0,42.2,115.2
11/07/2022,137.6,41.6,122.4
12/07/2022,134.4,45.0,129.8
13/07/2022,120.6,44.2,127.2
14/07/2022,137.4,50.2,133.6
15/07/2022,137.8,55.4,143.0
16/07/2022,135.0,51.6,139.4
17/07/2022,129.0,43.4,135.8
18/07/2022,132.6,41.4,145.6
19/07/2022,117.2,38.8,153.6
20/07/2022,114.6,37.2,161.8
21/07/2022,123.4,43.4,169.8
22/07/2022,133.4,50.0,167.0
23/07/2022,139.0,48.2,159.2
24/07/2022,143.2,44.8,146.4
25/07/2022,144.2,41.8,130.2
26/07/2022,132.2,39.4,125.4
27/07/2022,122.0,35.6,130.2
28/07/2022,104.2,34.8,125.8
29/07/2022,94.4,33.0,124.2
30/07/2022,95.0,29.8,124.0
31/07/2022,103.8,28.2,119.4
1/08/2022,107.6,27.2,120.8
2/08/2022,123.2,32.0,125.0
3/08/2022,139.2,40.4,130.4
4/08/2022,147.2,49.8,141.4
5/08/2022,158.8,52.6,152.2
6/08/2022,152.0,50.2,144.4
7/08/2022,131.2,47.4,133.6
8/08/2022,117.4,40.4,124.8
9/08/2022,104.8,38.2,115.4
10/08/2022,97.2,42.0,101.6
11/08/2022,97.8,47.4,104.2
12/08/2022,96.6,49.4,108.2
13/08/2022,96.8,50.4,111.4
14/08/2022,98.2,48.8,116.6
15/08/2022,107.2,46.8,128.2
16/08/2022,114.2,44.0,127.2
17/08/2022,132.0,38.6,131.8
18/08/2022,140.6,40.6,142.8
19/08/2022,138.0,36.8,143.4
20/08/2022,124.8,35.8,135.8
21/08/2022,113.8,36.8,128.8
22/08/2022,116.2,37.2,119.4
23/08/2022,113.4,35.0,114.2
24/08/2022,105.0,40.0,108.2
25/08/2022,101.4,39.6,108.8
26/08/2022,108.6,39.8,113.8
27/08/2022,95.0,40.4,109.8
28/08/2022,85.6,36.2,100.0
29/08/2022,92.8,31.6,100.2
30/08/2022,100.4,28.6,100.0
31/08/2022,127.4,27.0,108.6
1/09/2022,148.8,30.0,122.6
2/09/2022,178.8,33.8,134.0
3/09/2022,187.8,34.4,127.6
4/09/2022,197.0,35.6,134.2
5/09/2022,194.8,35.6,138.6
6/09/2022,228.6,33.8,149.0
7/09/2022,252.4,34.4,162.0
8/09/2022,282.0,36.4,186.2
9/09/2022,277.0,37.2,187.0
10/09/2022,269.6,36.4,179.6
11/09/2022,222.2,32.6,160.0
12/09/2022,165.8,28.6,137.2
13/09/2022,131.0,25.4,113.8
14/09/2022,114.0,22.6,99.8
15/09/2022,87.4,23.2,89.4
16/09/2022,74.0,27.0,83.4
17/09/2022,69.4,24.8,85.4
18/09/2022,51.0,22.4,83.8
19/09/2022,42.4,23.8,87.6
20/09/2022,37.8,25.0,84.2
21/09/2022,38.0,25.8,88.4
22/09/2022,39.8,30.6,88.4
23/09/2022,48.0,33.4,91.2
24/09/2022,58.8,31.8,88.6
25/09/2022,60.2,28.6,92.2
26/09/2022,59.8,26.4,90.0
27/09/2022,63.0,27.8,94.4
28/09/2022,59.0,27.6,94.0
29/09/2022,62.6,27.2,98.2
30/09/2022,64.0,29.2,97.6
1/10/2022,65.6,27.4,100.2
2/10/2022,62.6,22.4,85.6
3/10/2022,61.6,23.6,84.6
4/10/2022,47.8,26.8,76.6
5/10/2022,50.2,27.8,77.4
6/10/2022,49.2,30.4,74.4
7/10/2022,45.6,31.4,83.6
8/10/2022,47.6,26.8,83.4
9/10/2022,53.2,19.8,82.4
10/10/2022,50.0,17.4,78.2
11/10/2022,48.0,16.0,79.4
12/10/2022,47.2,18.2,76.2
13/10/2022,45.0,23.6,72.0
14/10/2022,40.8,27.6,75.4
15/10/2022,36.8,27.4,74.0
16/10/2022,39.4,24.4,73.0
17/10/2022,41.0,22.4,78.2
18/10/2022,37.4,20.2,91.0
19/10/2022,37.2,18.2,95.2
20/10/2022,37.8,22.0,108.8
21/10/2022,32.6,25.2,107.6
22/10/2022,29.2,24.6,98.4
23/10/2022,31.4,21.2,84.6
24/10/2022,29.2,21.8,82.4
25/10/2022,29.0,16.4,81.4
26/10/2022,28.4,15.2,93.6
27/10/2022,27.8,14.2,96.4
28/10/2022,26.6,17.6,99.8
29/10/2022,29.2,14.4,93.8
30/10/2022,27.8,14.6,77.8
31/10/2022,30.4,15.2,66.2
1/11/2022,30.2,17.8,64.6
2/11/2022,29.0,15.6,66.6
3/11/2022,25.8,16.2,65.0
4/11/2022,29.6,17.2,65.6
5/11/2022,25.0,15.0,59.8
6/11/2022,24.0,11.4,51.0
7/11/2022,21.6,9.8,38.8
8/11/2022,21.0,12.0,36.8
9/11/2022,18.2,12.2,40.8
10/11/2022,19.2,11.4,43.8
11/11/2022,18.0,10.6,47.0
12/11/2022,19.2,10.8,53.2
13/11/2022,20.4,7.8,49.2
14/11/2022,19.6,8.4,49.6
15/11/2022,18.0,10.0,51.0
16/11/2022,20.4,10.8,53.8
17/11/2022,22.8,12.4,61.4
18/11/2022,22.6,17.4,75.0
19/11/2022,23.4,13.6,70.0
20/11/2022,23.2,12.4,63.0
21/11/2022,21.2,13.6,60.6
22/11/2022,20.6,11.6,51.6
23/11/2022,19.8,7.2,39.6
24/11/2022,18.0,8.3,32.8
25/11/2022,16.4,6.5,29.4
26/11/2022,15.8,4.3,24.0
27/11/2022,11.6,3.0,15.0
28/11/2022,13.0,6.8,19.4
29/11/2022,15.8,8.0,31.6
30/11/2022,21.4,10.8,37.0
1/12/2022,21.8,12.4,40.8
2/12/2022,23.2,14.2,45.6
3/12/2022,21.8,11.2,42.0
4/12/2022,18.8,9.4,30.4
5/12/2022,16.4,7.2,36.8
6/12/2022,16.4,6.0,46.8
7/12/2022,18.4,5.4,54.6
8/12/2022,19.8,4.8,57.8
9/12/2022,20.8,5.2,69.6
10/12/2022,21.4,4.8,65.8
11/12/2022,20.0,3.6,53.6
12/12/2022,18.0,3.2,52.6
13/12/2022,20.0,4.0,59.8
14/12/2022,18.4,3.6,66.0
15/12/2022,18.0,3.6,68.6
16/12/2022,19.2,4.8,71.2
17/12/2022,18.2,5.2,69.0
18/12/2022,12.8,4.6,56.4
19/12/2022,12.0,6.0,47.4
20/12/2022,12.6,6.8,49.0
21/12/2022,12.4,6.6,49.4
22/12/2022,13.0,5.6,44.8
23/12/2022,13.8,5.2,42.8
24/12/2022,14.4,3.8,35.2
25/12/2022,11.0,3.0,21.0
26/12/2022,11.6,1.5,17.0
27/12/2022,11.6,5.5,14.8
28/12/2022,11.2,6.5,20.0
29/12/2022,10.6,6.7,22.4
30/12/2022,13.0,8.3,24.8
31/12/2022,13.2,8.3,24.6
1/01/2023,14.8,7.7,24.6
2/01/2023,20.2,7.7,19.4
3/01/2023,20.4,7.3,18.6
4/01/2023,19.6,6.7,20.6
5/01/2023,21.2,7.3,24.6
6/01/2023,22.0,11.2,29.2
7/01/2023,18.0,12.4,35.0
8/01/2023,17.6,13.2,38.0
9/01/2023,16.6,15.0,36.4
10/01/2023,17.2,18.0,35.4
11/01/2023,15.8,14.4,38.0
12/01/2023,18.2,15.2,40.0
13/01/2023,18.6,17.4,42.0
14/01/2023,19.6,14.0,42.8
15/01/2023,16.2,9.8,42.8
16/01/2023,14.2,8.6,40.4
17/01/2023,13.2,8.0,40.2
18/01/2023,15.4,6.6,42.8
19/01/2023,19.6,10.8,51.0
20/01/2023,20.8,12.6,59.6
21/01/2023,22.4,13.8,61.0
22/01/2023,21.4,12.6,60.0
23/01/2023,23.0,10.4,62.6
24/01/2023,21.4,7.6,65.6
25/01/2023,24.4,7.2,63.0
26/01/2023,24.8,9.4,60.2
27/01/2023,25.8,10.8,70.8
28/01/2023,23.4,11.8,64.4
29/01/2023,18.2,10.6,54.0
30/01/2023,20.0,9.8,51.4
31/01/2023,24.6,6.4,57.4
1/02/2023,32.2,5.8,49.2
2/02/2023,38.4,6.6,55.2
3/02/2023,44.4,9.4,63.2
4/02/2023,41.8,12.0,65.6
5/02/2023,37.0,14.6,61.0
6/02/2023,34.8,20.4,64.4
7/02/2023,35.2,21.0,74.6
8/02/2023,36.6,21.6,88.4
9/02/2023,38.8,22.0,93.4
10/02/2023,42.0,22.4,96.2
11/02/2023,40.2,18.8,95.2
12/02/2023,39.4,18.6,77.6
13/02/2023,43.2,18.8,59.8
14/02/2023,47.0,16.2,54.6
15/02/2023,50.0,17.8,57.8
16/02/2023,52.4,18.0,60.0
17/02/2023,53.2,16.6,68.0
18/02/2023,50.4,13.6,67.6
19/02/2023,45.8,13.8,70.0
20/02/2023,45.0,11.8,71.0
21/02/2023,47.2,13.4,68.2
22/02/2023,48.2,17.8,63.8
23/02/2023,49.2,23.8,64.4
24/02/2023,48.6,24.6,58.2
25/02/2023,45.0,23.4,48.8
26/02/2023,38.8,18.8,42.0
27/02/2023,36.0,18.2,36.4
28/02/2023,33.2,15.0,34.8
1/03/2023,35.6,18.8,36.4
2/03/2023,43.0,21.2,45.8
3/03/2023,48.4,26.6,57.0
4/03/2023,45.8,28.4,62.2
5/03/2023,49.0,30.6,64.0
6/03/2023,54.0,30.0,73.2
7/03/2023,55.6,33.8,77.0
8/03/2023,61.8,35.0,76.6
9/03/2023,64.0,37.6,85.0
10/03/2023,61.8,35.4,80.2
11/03/2023,58.2,32.6,66.6
12/03/2023,51.0,26.0,52.0
13/03/2023,47.8,20.4,44.2
14/03/2023,44.8,16.4,30.6
15/03/2023,51.6,20.0,43.2
16/03/2023,64.0,25.8,57.4
17/03/2023,65.8,32.4,69.8
18/03/2023,54.4,34.4,77.8
19/03/2023,54.2,32.0,85.6
20/03/2023,46.0,29.2,87.8
21/03/2023,29.6,22.8,81.2
22/03/2023,26.4,20.0,80.4
23/03/2023,31.2,20.6,80.6
24/03/2023,31.0,24.0,83.4
25/03/2023,26.2,20.8,73.8
26/03/2023,22.2,19.8,77.0
27/03/2023,24.2,18.4,81.6
28/03/2023,19.6,17.8,85.2
29/03/2023,18.0,19.2,93.0
30/03/2023,24.2,22.6,102.4
31/03/2023,25.8,27.0,96.2
1/04/2023,19.8,26.2,88.8
2/04/2023,21.0,26.2,76.2
3/04/2023,18.6,22.8,65.5
